ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	ProductConfigurationSearch	actors	General	General	General	General
ViewConfiguration	ProductConfigurationSearch	dataExport	PoliciesExport	PoliciesExport	PoliciesExport	PoliciesExport
UiSchema	ProductConfigurationSearchFiltersContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	ProductConfigurationSearchFiltersContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	ProductConfigurationSearchResultsContent	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	ProductConfigurationSearchResultsContent	ui-label	productCode	productCode	productCode	productCode
UiSchema	ProductConfigurationSearchResultsContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	ProductConfigurationSearchResultsContent	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	ProductConfigurationSearchResultsContent	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	ProductConfigurationSearchResultsContent	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	ProductConfigurationSearchResultsContent	ui-label	productGroupCode	productGroupCode	productGroupCode	productGroupCode
UiSchema	ProductConfigurationSearchResultsContent	ui-label	paymentFrequency	paymentFrequency	paymentFrequency	paymentFrequency
UiSchema	ProductConfigurationSearchResultsContent	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	ProductConfigurationSearchResultsContent	ui-label	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths
UiSchema	ProductConfigurationSearchResultsContent	ui-label	isWholeLife	isWholeLife	isWholeLife	isWholeLife
UiSchema	ProductConfigurationSearchResultsContent	ui-label	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder
UiSchema	ProductConfigurationSearchResultsContent	ui-label	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin
UiSchema	ProductConfigurationSearchResultsContent	ui-label	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax
UiSchema	ProductConfigurationSearchResultsContent	ui-label	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement
UiSchema	ProductConfigurationSearchResultsContent	ui-label	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax
UiSchema	ProductConfigurationSearchResultsContent	ui-label	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin
