ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	Дата заключения с
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	Дата заключения по
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	Период действия
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	Срок страхования
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	rko	rko	rko	РКО
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	manualRate	manualRate	manualRate	Ставка КВ
ViewConfiguration	RateOfReturnRulesEquityActivesLoadedDataFromExcel	rootConfiguration	RateOfReturnRulesEquityActivesLoadedDataFromExcel@Title	RateOfReturnRulesEquityActivesLoadedDataFromExcel	RateOfReturnRulesEquityActivesLoadedDataFromExcel	Загруженная информация
ViewConfiguration	RateOfReturnRulesEquityActivesLoadedDataFromExcel	actors	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	Импорт Лесенка КВ (ДСЖ и Активы)
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	investmentFrequency	investmentFrequency	investmentFrequency	Значение ИЧ
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	mf	mf	mf	Значение MF
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	costsOpenContracts	costsOpenContracts	costsOpenContracts	Расходы на открытие договора
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	commWithdrawalFunds	commWithdrawalFunds	commWithdrawalFunds	Комиссия за вывод денежных средств
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	isStandardContractConditions	isStandardContractConditions	isStandardContractConditions	Признак стандартных условий по договору
UiSchema	RateOfReturnRulesEquityActivesLoadedDataFromExcelUiSchema	ui-label	isCoordinationUDRequired	isCoordinationUDRequired	isCoordinationUDRequired	Требуется согласование УД
