ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	RateOfReturnRulesEquityActivesSearchFiltersContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	RateOfReturnRulesEquityActivesSearchFiltersContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	RateOfReturnRulesEquityActivesSearchFiltersContent	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	Срок страхования
UiSchema	RateOfReturnRulesEquityActivesSearchFiltersContent	ui-label	version	version	version	Версия
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	Дата заключения с
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	issueDateTo	issueDateTo	issueDateTo	Дата заключения по
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	issueDateStr	issueDateStr	issueDateStr	Период действия
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	Срок страхования
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	investmentFrequency	investmentFrequency	investmentFrequency	Значение ИЧ
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	mf	mf	mf	Значение MF
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	costsOpenContracts	costsOpenContracts	costsOpenContracts	Расходы на открытие договора
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	commWithdrawalFunds	commWithdrawalFunds	commWithdrawalFunds	Комиссия за вывод денежных средств
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	isStandardContractConditions	isStandardContractConditions	isStandardContractConditions	Признак стандартных условий по договору
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	isCoordinationUDRequired	isCoordinationUDRequired	isCoordinationUDRequired	Требуется согласование УД
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	rko	rko	rko	РКО
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	manualRate	manualRate	manualRate	Ставка КВ
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	importDocumentId	importDocumentId	importDocumentId	Id импортированного документа
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	version	version	version	Версия
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	loadedBy	loadedBy	loadedBy	Загружено
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	loadDate	loadDate	loadDate	Дата загрузки
ViewConfiguration	RateOfReturnRulesEquityActivesSearch	rootConfiguration	RateOfReturnRulesEquityActivesSearch@Title	RateOfReturnRulesEquityActivesSearch	RateOfReturnRulesEquityActivesSearch	Экспорт Лесенки КВ (ДСЖ и Активы)
ViewConfiguration	RateOfReturnRulesEquityActivesSearch	actors	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	Импорт Лесенка КВ (ДСЖ и Активы)
ViewConfiguration	RateOfReturnRulesEquityActivesSearch	dataExport	RateOfReturnRulesEquityActivesExport	RateOfReturnRulesEquityActivesExport	RateOfReturnRulesEquityActivesExport	Экспорт
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	Export last imported rate of return equity and actives	Export last imported rate of return equity and actives	Export last imported rate of return equity and actives	Экспорт последней версии лесенки кв
UiSchema	RateOfReturnRulesEquityActivesSearchResultsContent	ui-label	Export filtered rate of return equity and actives	Export filtered rate of return equity and actives	Export filtered rate of return equity and actives	Экспорт отфильтрованной лесенки кв
