ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RateOfReturnRulesLoadedDataFromExcel	rootConfiguration	RateOfReturnRulesLoadedDataFromExcel@Title	RateOfReturnRulesLoadedDataFromExcel	RateOfReturnRulesLoadedDataFromExcel	БО
ViewConfiguration	RateOfReturnRulesLoadedDataFromExcel	actors	General	General	General	Импорт атрибутов Лесенки КВ
ViewConfiguration	RateOfReturnRulesLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	guaranteedIncome	guaranteedIncome	guaranteedIncome	guaranteedIncome
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	variant	variant	variant	variant
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	rateOfReturn	rateOfReturn	rateOfReturn	rateOfReturn
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	cashback	cashback	cashback	cashback
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	rko	rko	rko	rko
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	manualRate	manualRate	manualRate	manualRate
UiSchema	RateOfReturnRulesLoadedDataFromExcelUiSchema	ui-label	strategyCode	strategyCode	strategyCode	Стратегия инвестирования
