ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RateOfReturnRulesSearch	actors	General	General	General	General
ViewConfiguration	RateOfReturnRulesSearch	dataExport	PoliciesExport	PoliciesExport	PoliciesExport	PoliciesExport
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	productCode	productCode	productCode	productCode
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	guaranteedIncome	guaranteedIncome	guaranteedIncome	guaranteedIncome
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	version	version	version	version
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	loadDate	loadDate	loadDate	loadDate
ViewConfiguration	RateOfReturnRulesSearch	rootConfiguration	RateOfReturnRulesSearch@Title	RateOfReturnRulesSearch	Product configuration export	Экспорт лесенки кв
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	version	version	version	Версия загруженной конфигурации
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	Export last imported product configuration	Export last imported product configuration	Export last imported product configuration	Экспорт последней версии лесенки кв
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	Export filtered product configuration	Export filtered product configuration	Export filtered product configuration	Экспорт отфильтрованной лесенки кв
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	insuranceTerms	insuranceTerms	Insurance terms	Срок действия договора в годах
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	currencyCode	currencyCode	Currency code	Код валюты
UiSchema	RateOfReturnRulesSearchFiltersContent	ui-label	guaranteedIncome	guaranteedIncome	Guaranteed income	Выплата с гар. доходом
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	variant	variant	variant	variant
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	rateOfReturn	rateOfReturn	rateOfReturn	rateOfReturn
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	cashback	cashback	cashback	cashback
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	rko	rko	rko	rko
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	manualRate	manualRate	manualRate	manualRate
UiSchema	RateOfReturnRulesSearchResultsContent	ui-label	strategyCode	strategyCode	strategyCode	Стратегия инвестирования
