ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RelatedAccountingEntriesView	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	БО
ViewConfiguration	RelatedAccountingEntriesView	rootConfiguration	RelatedAccountingEntriesView@Title	RelatedAccountingEntriesView	RelatedAccountingEntriesView	Проводки по договору
ViewConfiguration	RelatedAccountingEntriesView	dataExport	FakeExportTransactionsReport	FakeExportTransactionsReport	Export transactions report	Проводки по договору
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	mainContractNo	mainContractNo	Main contract no	Номер основного договора
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	actId	actId	Act id	Акт ID
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	actNo	actNo	Act no	Номер акта
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	bankStatementItemId	bankStatementItemId	BSI id	Платёж ID
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	TransactionTypeId	TransactionTypeId	Transaction type id	Тип проводки
UiSchema	RelatedAccountingEntriesViewFiltersContent	ui-label	enableGrouping	enableGrouping	Enable grouping	Сгруппировать по ЛЛОБ
UiSchema	RelatedAccountingEntriesViewActionsContent	ui-label	Search	Search	Search	Поиск
UiSchema	RelatedAccountingEntriesViewActionsContent	ui-label	Print	Print	Print	Печать
UiSchema	RelatedAccountingEntriesViewActionsContent	ui-label	Clear	Clear	Clear	Очистить
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	PairNo	PairNo	Pair no	Номер
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	DocumentNo	DocumentNo	Document no	Документ
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	SourceLineId	SourceLineId	Source line id	Код риска
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	Entry Date	Entry Date	Entry Date	Дата проводки
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	Entry Type	Entry Type	Entry Type	Тип проводки
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	Debit/Credit	Debit/Credit	Debit/Credit	Дебет/Кредит
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	EPS Account	EPS Account	EPS Account	Счёт ЕПС
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	EPS Account 20-digit	EPS Account 20-digit	EPS Account 20-digit	Счёт ЕПС 20-тизначный
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	Posting Amount	Posting Amount	Posting Amount	Сумма проводки
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	LLOB	LLOB	LLOB	ЛЛОБ
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	Storno	Storno	Storno	Признак сторно
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	GL Account	GL Account	GL Account	GL счёт
UiSchema	RelatedAccountingEntriesViewResultsContent	ui-label	KSP	KSP	KSP	КСП
