ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RelatedFundAssetsDocumentsView	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	Оперу
ViewConfiguration	RelatedFundAssetsDocumentsView	actors	Administrator	Administrator	Administrator	Администратор
ViewConfiguration	RelatedFundAssetsDocumentsView	rootConfiguration	RelatedFundAssetsDocumentsView@Title	RelatedFundAssetsDocumentsView	RelatedFundAssetsDocumentsView	Текущий активы фонда
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetType	assetType	assetType	Тип актива
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetName	assetName	assetName	Наименование актива
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	isin	isin	isin	ISIN
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetCurrentShare	assetCurrentShare	assetCurrentShare	Доля актива (текущая)
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetPurchasePriceAvg	assetPurchasePriceAvg	assetPurchasePriceAvg	Цена покупки актива (средняя)
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	stockPurchasedNumber	stockPurchasedNumber	stockPurchasedNumber	Количество купленных Ценных Бумаг
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	Стоимость активов на момент покупки
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	Цена актива на дату формирования отчета
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	Стоимость активов на дату формирования отчета
UiSchema	RelatedFundAssetsDocumentsViewUiSchema	ui-label	couponRate	couponRate	couponRate	Ставка купона
ViewConfiguration	RelatedFundAssetsDocumentsView	actors	Agent	Agent	Agent	Агент
