ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RelatedFundHistoryDocumentsView	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	Оперу
ViewConfiguration	RelatedFundHistoryDocumentsView	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	Document import report date	Document import report date	Document import report date	Дата формирования отчета
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	Net assets amount	Net assets amount	Net assets amount	Стоимость инвестиционного счета
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	Fund status	Fund status	Fund status	Статус фонда
ViewConfiguration	RelatedFundHistoryDocumentsView	rootConfiguration	RelatedFundHistoryDocumentsView@Title	RelatedFundHistoryDocumentsView	RelatedFundHistoryDocumentsView	История статусов
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetType	assetType	assetType	Тип актива
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetName	assetName	assetName	Наименование актива
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	isin	isin	isin	ISIN
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetCurrentShare	assetCurrentShare	assetCurrentShare	Доля актива (текущая)
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetPurchasePriceAvg	assetPurchasePriceAvg	assetPurchasePriceAvg	Цена покупки актива (средняя)
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	stockPurchasedNumber	stockPurchasedNumber	stockPurchasedNumber	Количество купленных Ценных Бумаг
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	Стоимость активов на момент покупки
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	Цена актива на дату формирования отчета
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	Стоимость активов на дату формирования отчета
UiSchema	RelatedFundHistoryDocumentsViewUiSchema	ui-label	couponRate	couponRate	couponRate	Ставка купона
ViewConfiguration	RelatedFundHistoryDocumentsView	actors	Agent	Agent	Agent	Агент
