ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	RequestSearch	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice
ViewConfiguration	RequestSearch	rootConfiguration	RequestSearch@Title	RequestSearch	Журнал заявок	RequestSearch
ViewConfiguration	RequestSearch	dataExport	RequestsExport	RequestsExport	Экспорт заявок	RequestsExport
UiSchema	RequestSearchResultsContent	ui-label	Export	Export	Экспорт	Export
UiSchema	RequestSearchResultsContent	ui-label	Export Report	Export Report	Выгрузить отчет	Export Report
UiSchema	RequestSearchFiltersContent	ui-label	requestType	requestType	Тип обращения	requestType
UiSchema	RequestSearchFiltersContent	ui-label	requestAmendmentReason	requestAmendmentReason	Причина расторжения	requestAmendmentReason
UiSchema	RequestSearchFiltersContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	RequestSearchFiltersContent	ui-label	contractProductGroupDescription	contractProductGroupDescription	Группа продуктов	contractProductGroupDescription
UiSchema	RequestSearchFiltersContent	ui-label	contractProductCode	contractProductCode	Продукт	contractProductCode
UiSchema	RequestSearchFiltersContent	ui-label	policyHolder	policyHolder	Страхователь	policyHolder
UiSchema	RequestSearchFiltersContent	ui-label	contractIssueDateFrom	contractIssueDateFrom	Дата заключения договора с	contractIssueDateFrom
UiSchema	RequestSearchFiltersContent	ui-label	contractIssueDateTo	contractIssueDateTo	Дата заключения договора по	contractIssueDateTo
UiSchema	RequestSearchFiltersContent	ui-label	requestIssueDateFrom	requestIssueDateFrom	Дата подписания заявления с	requestIssueDateFrom
UiSchema	RequestSearchFiltersContent	ui-label	requestIssueDateTo	requestIssueDateTo	Дата подписания заявления по	requestIssueDateTo
UiSchema	RequestSearchFiltersContent	ui-label	requestNumber	requestNumber	Номер заявки	requestNumber
UiSchema	RequestSearchFiltersContent	ui-label	Request state code	Request state code	Статус заявки	Request state code
UiSchema	RequestSearchResultsContent	ui-label	requestNumber	requestNumber	Заявка	requestNumber
UiSchema	RequestSearchResultsContent	ui-label	contractHolderName	contractHolderName	Страхователь	Export
UiSchema	RequestSearchResultsContent	ui-label	requestState	requestState	Статус заявки	requestState
UiSchema	RequestSearchResultsContent	ui-label	requestType	requestType	Тип обращения	requestType
UiSchema	RequestSearchResultsContent	ui-label	requestAmendmentReason	requestAmendmentReason	Причина расторжения	requestAmendmentReason
UiSchema	RequestSearchResultsContent	ui-label	contractNumber	contractNumber	Номер договора	contractNumber
UiSchema	RequestSearchResultsContent	ui-label	contractProductCode	contractProductCode	Продукт	contractProductCode
UiSchema	RequestSearchResultsContent	ui-label	contractProductGroup	contractProductGroup	Группа продуктов	contractProductGroup
UiSchema	RequestSearchResultsContent	ui-label	contractIssueDate	contractIssueDate	Дата заключения договора	contractIssueDate
UiSchema	RequestSearchResultsContent	ui-label	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
UiSchema	RequestSearchFiltersContent	ui-label	applicant	applicant	Заявитель	applicant
UiSchema	RequestSearchResultsContent	ui-label	requestApplicant	requestApplicant	Заявитель	requestApplicant
UiSchema	RequestSearchResultsContent	ui-label	contractRiskPremium	contractRiskPremium	Страховой взнос	contractRiskPremium
UiSchema	RequestSearchResultsContent	ui-label	contractPartnerName	contractPartnerName	Агент	contractPartnerName
UiSchema	RequestSearchResultsContent	ui-label	requestBankName	requestBankName	Наименование Банка	requestBankName
UiSchema	RequestSearchResultsContent	ui-label	requestBankNumber	requestBankNumber	Банковские реквизиты	requestBankNumber
UiSchema	RequestSearchResultsContent	ui-label	contractState	contractState	Статус договора	contractState
UiSchema	RequestSearchFiltersContent	ui-label	contractState	contractState	Статус договора	contractState
