ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyConfLoadedDataFromExcel	actors	General	General	General	General
ViewConfiguration	StrategyConfLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Administrator
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	payOffDescription	payOffDescription	payOffDescription	payOffDescription
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	baseActiveDescription	baseActiveDescription	baseActiveDescription	baseActiveDescription
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	optionPrice	optionPrice	optionPrice	optionPrice
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	barrier	barrier	barrier	barrier
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	barrierAutoCall	barrierAutoCall	barrierAutoCall	barrierAutoCall
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	emitent	emitent	emitent	emitent
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	fixRate	fixRate	fixRate	fixRate
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	intialShare	intialShare	intialShare	intialShare
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	hedgeCost	hedgeCost	hedgeCost	hedgeCost
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	spreadBA	spreadBA	spreadBA	spreadBA
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	payOffShortDescription	payOffShortDescription	payOffShortDescription	payOffShortDescription
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	toolType	toolType	toolType	toolType
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	measureToolNominal	measureToolNominal	measureToolNominal	measureToolNominal
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	calculatingAgent	calculatingAgent	calculatingAgent	calculatingAgent
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool
UiSchema	StrategyConfLoadedDataFromExcelUiSchema	ui-label	discount	discount	discount	discount
ViewConfiguration	StrategyConfLoadedDataFromExcel	rootConfiguration	StrategyConfLoadedDataFromExcel@Title	StrategyConfLoadedDataFromExcel	StrategyConfLoadedDataFromExcel	StrategyConfLoadedDataFromExcel
