ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyConfSearch	actors	General	General	General	General
ViewConfiguration	StrategyConfSearch	dataExport	PoliciesExport	PoliciesExport	PoliciesExport	PoliciesExport
UiSchema	StrategyConfSearchFiltersContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	StrategyConfSearchFiltersContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	StrategyConfSearchResultsContent	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	StrategyConfSearchResultsContent	ui-label	productCode	productCode	productCode	productCode
UiSchema	StrategyConfSearchResultsContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	StrategyConfSearchResultsContent	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	StrategyConfSearchResultsContent	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	StrategyConfSearchResultsContent	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	StrategyConfSearchResultsContent	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	StrategyConfSearchResultsContent	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	StrategyConfSearchResultsContent	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	StrategyConfSearchResultsContent	ui-label	payOffDescription	payOffDescription	payOffDescription	payOffDescription
UiSchema	StrategyConfSearchResultsContent	ui-label	baseActiveDescription	baseActiveDescription	baseActiveDescription	baseActiveDescription
UiSchema	StrategyConfSearchResultsContent	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	StrategyConfSearchResultsContent	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods
UiSchema	StrategyConfSearchResultsContent	ui-label	optionPrice	optionPrice	optionPrice	optionPrice
UiSchema	StrategyConfSearchResultsContent	ui-label	barrier	barrier	barrier	barrier
UiSchema	StrategyConfSearchResultsContent	ui-label	barrierAutoCall	barrierAutoCall	barrierAutoCall	barrierAutoCall
UiSchema	StrategyConfSearchResultsContent	ui-label	emitent	emitent	emitent	emitent
UiSchema	StrategyConfSearchResultsContent	ui-label	fixRate	fixRate	fixRate	fixRate
UiSchema	StrategyConfSearchResultsContent	ui-label	intialShare	intialShare	intialShare	intialShare
UiSchema	StrategyConfSearchResultsContent	ui-label	hedgeCost	hedgeCost	hedgeCost	hedgeCost
UiSchema	StrategyConfSearchResultsContent	ui-label	spreadBA	spreadBA	spreadBA	spreadBA
UiSchema	StrategyConfSearchResultsContent	ui-label	payOffShortDescription	payOffShortDescription	payOffShortDescription	payOffShortDescription
UiSchema	StrategyConfSearchResultsContent	ui-label	toolType	toolType	toolType	toolType
UiSchema	StrategyConfSearchResultsContent	ui-label	measureToolNominal	measureToolNominal	measureToolNominal	measureToolNominal
UiSchema	StrategyConfSearchResultsContent	ui-label	calculatingAgent	calculatingAgent	calculatingAgent	calculatingAgent
UiSchema	StrategyConfSearchResultsContent	ui-label	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool
UiSchema	StrategyConfSearchResultsContent	ui-label	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool
UiSchema	StrategyConfSearchResultsContent	ui-label	discount	discount	discount	discount
UiSchema	StrategyConfSearchResultsContent	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	StrategyConfSearchResultsContent	ui-label	version	version	version	version
UiSchema	StrategyConfSearchResultsContent	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	StrategyConfSearchResultsContent	ui-label	loadDate	loadDate	loadDate	loadDate
ViewConfiguration	StrategyConfSearch	rootConfiguration	StrategyConfSearch@Title	StrategyConfSearch	Strategy configuration export	Экспорт конфигурации стратегий
UiSchema	StrategyConfSearchFiltersContent	ui-label	version	version	version	Версия загруженной конфигурации
UiSchema	StrategyConfSearchResultsContent	ui-label	Export last imported product configuration	Export last imported product configuration	Export last imported product configuration	Экспорт последней версии конфигурации стратегий
UiSchema	StrategyConfSearchResultsContent	ui-label	Export filtered product configuration	Export filtered product configuration	Export filtered product configuration	Экспорт отфильтрованных стратегий
UiSchema	StrategyConfSearchFiltersContent	ui-label	productDescription	productDescription	Product description	Описание продукта
UiSchema	StrategyConfSearchFiltersContent	ui-label	strategyCode	strategyCode	Strategy code	Код стратегии
UiSchema	StrategyConfSearchFiltersContent	ui-label	currencyCode	currencyCode	Currency code	Код валюты
