ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyInstrLoadedDataFromExcel	actors	General	General	General	General
ViewConfiguration	StrategyInstrLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Administrator
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	purchaseDate	purchaseDate	purchaseDate	purchaseDate
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	dischargeDate	dischargeDate	dischargeDate	dischargeDate
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	didBeginDate	didBeginDate	didBeginDate	didBeginDate
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	didEndDate	didEndDate	didEndDate	didEndDate
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	couponPeriods	couponPeriods	couponPeriods	couponPeriods
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	windowStartDate	windowStartDate	windowStartDate	windowStartDate
UiSchema	StrategyInstrLoadedDataFromExcelUiSchema	ui-label	windowEndDate	windowEndDate	windowEndDate	windowEndDate
ViewConfiguration	StrategyInstrLoadedDataFromExcel	rootConfiguration	StrategyInstrLoadedDataFromExcel@Title	StrategyInstrLoadedDataFromExcel	StrategyInstrLoadedDataFromExcel	StrategyInstrLoadedDataFromExcel
