ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyInstrSearch	actors	General	General	General	General
ViewConfiguration	StrategyInstrSearch	dataExport	PoliciesExport	PoliciesExport	PoliciesExport	PoliciesExport
UiSchema	StrategyInstrSearchFiltersContent	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	StrategyInstrSearchFiltersContent	ui-label	issueDate	issueDate	issueDate	Дата заключения
UiSchema	StrategyInstrSearchResultsContent	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	StrategyInstrSearchResultsContent	ui-label	productCode	productCode	productCode	productCode
UiSchema	StrategyInstrSearchResultsContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	StrategyInstrSearchResultsContent	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	StrategyInstrSearchResultsContent	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	StrategyInstrSearchResultsContent	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	StrategyInstrSearchResultsContent	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	StrategyInstrSearchResultsContent	ui-label	version	version	version	version
UiSchema	StrategyInstrSearchResultsContent	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	StrategyInstrSearchResultsContent	ui-label	loadDate	loadDate	loadDate	loadDate
ViewConfiguration	StrategyInstrSearch	rootConfiguration	StrategyInstrSearch@Title	StrategyInstrSearch	Product configuration export	Экспорт конфигурации инструментов стратегии
UiSchema	StrategyInstrSearchFiltersContent	ui-label	version	version	version	Версия загруженной конфигурации
UiSchema	StrategyInstrSearchFiltersContent	ui-label	productDescription	productDescription	Product description	Описание продукта
UiSchema	StrategyInstrSearchFiltersContent	ui-label	strategyCode	strategyCode	Strategy code	Код стратегии
UiSchema	StrategyInstrSearchResultsContent	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	StrategyInstrSearchResultsContent	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	StrategyInstrSearchResultsContent	ui-label	purchaseDate	purchaseDate	purchaseDate	purchaseDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	dischargeDate	dischargeDate	dischargeDate	dischargeDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	didBeginDate	didBeginDate	didBeginDate	didBeginDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	didEndDate	didEndDate	didEndDate	didEndDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	couponPeriods	couponPeriods	couponPeriods	couponPeriods
UiSchema	StrategyInstrSearchResultsContent	ui-label	windowStartDate	windowStartDate	windowStartDate	windowStartDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	windowEndDate	windowEndDate	windowEndDate	windowEndDate
UiSchema	StrategyInstrSearchResultsContent	ui-label	Export last imported strategy instruments	Export last imported strategy instruments	Export last imported strategy instruments	Экспорт последней версии конфигурации инструментов стратегий
UiSchema	StrategyInstrSearchResultsContent	ui-label	Export filtered strategy instruments	Export filtered strategy instruments	Export filtered strategy instruments	Экспорт отфильтрованных инструментов стратегий
