ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedContractEntityAttributes	rootConfiguration	SuccessfullyImportedContractEntityAttributes@Title	SuccessfullyImportedContractEntityAttributes	SuccessfullyImportedContractEntityAttributes	Успешно импортированная информация
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
ViewConfiguration	SuccessfullyImportedContractEntityAttributes	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	originalReceiptDate	originalReceiptDate	originalReceiptDate	Дата получения оригинала договора
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	hasAmendment	hasAmendment	hasAmendment	Получено дополнительное соглашение
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	Заявление на промежуточную выплату
UiSchema	SuccessfullyImportedContractEntityAttributesUiSchema	ui-label	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	Дата получения заявления на промежуточную выплату
ViewConfiguration	SuccessfullyImportedContractEntityAttributes	actors	Operations	Operations	Operations	ОПЕРУ
ViewConfiguration	SuccessfullyImportedContractEntityAttributes	actors	System	System	System	Система
