ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedFund	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	SuccessfullyImportedFund	rootConfiguration	SuccessfullyImportedFund@Title	SuccessfullyImportedFund	SuccessfullyImportedFund	SuccessfullyImportedFund
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Excel №
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	rowNumber	rowNumber	rowNumber	№
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	documentNumber	documentNumber	documentNumber	Номер договора
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	fundStatus	fundStatus	fundStatus	Статус фонда
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	netAssetsAmount	netAssetsAmount	netAssetsAmount	Стоимость инвестиционного счета (Стоимость чистых активов)
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	freeMoney	freeMoney	freeMoney	Свободные денежные средства
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	numberOfUnits	numberOfUnits	numberOfUnits	Кол-во паев (юнитов)
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	unitCurrentAmount	unitCurrentAmount	unitCurrentAmount	Текущая стоимость пая (юнита)
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	reportDate	reportDate	reportDate	Дата отчета
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	confVersion	confVersion	confVersion	Версия
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	importDocumentId	importDocumentId	importDocumentId	Id документа импорта
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	loadedBy	loadedBy	loadedBy	Кем загружено
UiSchema	SuccessfullyImportedFundUiSchema	ui-label	loadDate	loadDate	loadDate	Дата загрузки
