ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedFundAssets	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	SuccessfullyImportedFundAssets	rootConfiguration	SuccessfullyImportedFundAssets@Title	SuccessfullyImportedFundAssets	SuccessfullyImportedFundAssets	SuccessfullyImportedFundAssets
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Excel №
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	rowNumber	rowNumber	rowNumber	№
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	documentNumber	documentNumber	documentNumber	Номер договора
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetType	assetType	assetType	Тип актива
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetName	assetName	assetName	Наименование актива
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	isin	isin	isin	ISIN
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetCurrentShare	assetCurrentShare	assetCurrentShare	Доля актива (текущая)
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetPurchasePriceAvg	assetPurchasePriceAvg	assetPurchasePriceAvg	Цена покупки актива (средняя)
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	stockPurchasedNumber	stockPurchasedNumber	stockPurchasedNumber	Количество купленных Ценных Бумаг
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	Стоимость активов на момент покупки
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	Цена актива на дату формирования отчета
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	Стоимость активов на дату формирования отчета
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	couponRate	couponRate	couponRate	Ставка купона
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	accumulatedCouponIncome	accumulatedCouponIncome	accumulatedCouponIncome	Накопленный купонный доход
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	reportDate	reportDate	reportDate	Дата отчета
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	confVersion	confVersion	confVersion	Версия
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	importDocumentId	importDocumentId	importDocumentId	Id документа импорта
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	loadedBy	loadedBy	loadedBy	Кем загружено
UiSchema	SuccessfullyImportedFundAssetsUiSchema	ui-label	loadDate	loadDate	loadDate	Дата загрузки
