ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedInsuranceRules	actors	General	General	General	Основной
ViewConfiguration	SuccessfullyImportedInsuranceRules	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	ruleCode	ruleCode	ruleCode	Код правил
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	ruleDescription	ruleDescription	ruleDescription	Описание правил
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	ruleDate	ruleDate	ruleDate	Дата правил
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	ruleLink	ruleLink	ruleLink	Ссылка на правила
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	loadedBy	loadedBy	loadedBy	Загружено
UiSchema	SuccessfullyImportedInsuranceRulesUiSchema	ui-label	loadDate	loadDate	loadDate	Дата загрузки
ViewConfiguration	SuccessfullyImportedInsuranceRules	rootConfiguration	SuccessfullyImportedInsuranceRules@Title	SuccessfullyImportedInsuranceRules	SuccessfullyImportedInsuranceRules	Успешно импортированные правила страхования
