ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedProductConfiguration	actors	General	General	General	General
ViewConfiguration	SuccessfullyImportedProductConfiguration	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	SuccessfullyImportedProductConfiguration	rootConfiguration	SuccessfullyImportedProductConfiguration@Title	SuccessfullyImportedProductConfiguration	SuccessfullyImportedProductConfiguration	SuccessfullyImportedProductConfiguration
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	productGroupCode	productGroupCode	productGroupCode	productGroupCode
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	paymentFrequency	paymentFrequency	paymentFrequency	paymentFrequency
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	isWholeLife	isWholeLife	isWholeLife	isWholeLife
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	strategy	strategy	strategy	strategy
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	additionalServices	additionalServices	additionalServices	additionalServices
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	giftServices	giftServices	giftServices	giftServices
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	giftServicesPremium	giftServicesPremium	giftServicesPremium	giftServicesPremium
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	prefixOld	prefixOld	prefixOld	prefixOld
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	prefix	prefix	prefix	prefix
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	prefixByStrategyOld	prefixByStrategyOld	prefixByStrategyOld	prefixByStrategyOld
UiSchema	SuccessfullyImportedProductConfigurationUiSchema	ui-label	prefixByStrategy	prefixByStrategy	prefixByStrategy	prefixByStrategy
