ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedRateOfReturnRules	actors	General	General	General	General
ViewConfiguration	SuccessfullyImportedRateOfReturnRules	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	SuccessfullyImportedRateOfReturnRules	rootConfiguration	SuccessfullyImportedRateOfReturnRules@Title	SuccessfullyImportedRateOfReturnRules	SuccessfullyImportedRateOfReturnRules	SuccessfullyImportedRateOfReturnRules
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	guaranteedIncome	guaranteedIncome	guaranteedIncome	guaranteedIncome
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	variant	variant	variant	variant
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	rateOfReturn	rateOfReturn	rateOfReturn	rateOfReturn
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	cashback	cashback	cashback	cashback
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	rko	rko	rko	rko
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	manualRate	manualRate	manualRate	manualRate
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	version	version	version	version
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	loadDate	loadDate	loadDate	loadDate
UiSchema	SuccessfullyImportedRateOfReturnRulesUiSchema	ui-label	strategyCode	strategyCode	strategyCode	Стратегия инвестирования
