ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedRateOfReturnRulesEquityActives	rootConfiguration	SuccessfullyImportedRateOfReturnRulesEquityActives@Title	SuccessfullyImportedRateOfReturnRulesEquityActives	SuccessfullyImportedRateOfReturnRulesEquityActives	Успешно импортированная информация
ViewConfiguration	SuccessfullyImportedRateOfReturnRulesEquityActives	actors	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	Импорт Лесенка КВ (ДСЖ и Активы)
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	Срок страхования
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	Дата заключения с
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	Дата заключения по
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	Период действия
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	manualRate	manualRate	manualRate	Ставка КВ
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	investmentFrequency	investmentFrequency	investmentFrequency	Значение ИЧ
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	mf	mf	mf	Значение MF
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	costsOpenContracts	costsOpenContracts	costsOpenContracts	Расходы на открытие договора
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	commWithdrawalFunds	commWithdrawalFunds	commWithdrawalFunds	Комиссия за вывод денежных средств
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	rko	rko	rko	РКО
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	isStandardContractConditions	isStandardContractConditions	isStandardContractConditions	Признак стандартных условий по договору
UiSchema	SuccessfullyImportedRateOfReturnRulesEquityActivesUiSchema	ui-label	isCoordinationUDRequired	isCoordinationUDRequired	isCoordinationUDRequired	Требуется согласование УД
