ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedStrategyConf	actors	General	General	General	General
ViewConfiguration	SuccessfullyImportedStrategyConf	actors	Administrator	Administrator	Administrator	Administrator
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	currencyCode	currencyCode	currencyCode	currencyCode
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	payOffDescription	payOffDescription	payOffDescription	payOffDescription
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	baseActiveDescription	baseActiveDescription	baseActiveDescription	baseActiveDescription
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	participationCoeff	participationCoeff	participationCoeff	participationCoeff
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	optionPrice	optionPrice	optionPrice	optionPrice
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	barrier	barrier	barrier	barrier
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	barrierAutoCall	barrierAutoCall	barrierAutoCall	barrierAutoCall
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	emitent	emitent	emitent	emitent
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	fixRate	fixRate	fixRate	fixRate
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	intialShare	intialShare	intialShare	intialShare
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	hedgeCost	hedgeCost	hedgeCost	hedgeCost
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	spreadBA	spreadBA	spreadBA	spreadBA
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	payOffShortDescription	payOffShortDescription	payOffShortDescription	payOffShortDescription
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	toolType	toolType	toolType	toolType
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	measureToolNominal	measureToolNominal	measureToolNominal	measureToolNominal
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	calculatingAgent	calculatingAgent	calculatingAgent	calculatingAgent
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	discount	discount	discount	discount
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	version	version	version	version
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	SuccessfullyImportedStrategyConfUiSchema	ui-label	loadDate	loadDate	loadDate	loadDate
ViewConfiguration	SuccessfullyImportedStrategyConf	rootConfiguration	SuccessfullyImportedStrategyConf@Title	SuccessfullyImportedStrategyConf	SuccessfullyImportedStrategyConf	SuccessfullyImportedStrategyConf
