ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	SuccessfullyImportedStrategyInstr	actors	General	General	General	General
ViewConfiguration	SuccessfullyImportedStrategyInstr	actors	Administrator	Administrator	Administrator	Administrator
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	strategyCode	strategyCode	strategyCode	strategyCode
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	importDocumentId	importDocumentId	importDocumentId	importDocumentId
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	version	version	version	version
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	loadedBy	loadedBy	loadedBy	loadedBy
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	loadDate	loadDate	loadDate	loadDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	purchaseDate	purchaseDate	purchaseDate	purchaseDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	dischargeDate	dischargeDate	dischargeDate	dischargeDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	didBeginDate	didBeginDate	didBeginDate	didBeginDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	didEndDate	didEndDate	didEndDate	didEndDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	couponPeriods	couponPeriods	couponPeriods	couponPeriods
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	windowStartDate	windowStartDate	windowStartDate	windowStartDate
UiSchema	SuccessfullyImportedStrategyInstrUiSchema	ui-label	windowEndDate	windowEndDate	windowEndDate	windowEndDate
ViewConfiguration	SuccessfullyImportedStrategyInstr	rootConfiguration	SuccessfullyImportedStrategyInstr@Title	SuccessfullyImportedStrategyInstr	SuccessfullyImportedStrategyInstr	SuccessfullyImportedStrategyInstr
