ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	System	Add
Administrator	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
MedLifeBFKOMass	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
MedLifeBFKOAffluent	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
MedLifePSBMass	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
MedLifePSBAffluent	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
MedLifeBFKOVIP	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Agent	Add
OperationsGroup	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	MedLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
MedLifeBFKOMass	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
MedLifeBFKOAffluent	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
MedLifePSBMass	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
MedLifePSBAffluent	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
MedLifeBFKOVIP	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Agent	Add
OperationsGroup	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	MedLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
MedLifeBFKOMass	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
MedLifeBFKOAffluent	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
MedLifePSBMass	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
MedLifePSBAffluent	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
MedLifeBFKOVIP	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsDirectorGroup	Allow Actor	MedLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
