ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	MedLifeInsuranceCancellation	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	MedLifeInsuranceCancellation	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	MedLifeInsuranceCancellation	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	MedLifeInsuranceCancellation	actors	OperationsDirector	OperationsDirector	Руководитель-ОПЕРУ	OperationsDirector
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
UiSchema	MedLifeInsuranceCancellationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	Условия	tabAmendmentConditions
UiSchema	MedLifeInsuranceCancellationMainContent	ui-label	History	History	История	History
DocumentConfiguration	MedLifeInsuranceCancellation	rootConfiguration	MedLifeInsuranceCancellation@Title	MedLifeInsuranceCancellation	Расторжение	MedLifeInsuranceCancellation
DataSchema	MedLifeInsuranceCancellation	field-title	commentIsRequired	commentIsRequired	комментарий	commentIsRequired
DataSchema	MedLifeInsuranceCancellation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	автора	commentAuthorIsRequired
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_RequestToClient@Title	OperationsApproval_to_RequestToClient	Ожидание ответов на запросы	OperationsApproval_to_RequestToClient
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	OperationsApproval_to_Cancelled
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@RequestToClient_to_OperationsApproval@Title	RequestToClient_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	RequestToClient_to_OperationsApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_SentToPayment@Title	OperationsDirectorApproval_to_SentToPayment	Передать на выплату	OperationsDirectorApproval_to_SentToPayment
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsDirectorApproval_to_OperationsApproval@Title	OperationsDirectorApproval_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	OperationsDirectorApproval_to_OperationsApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@SentToPayment_to_Paid@Title	SentToPayment_to_Paid	Оплачен	SentToPayment_to_Paid
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении ОПЕРУ	OperationsApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@RequestToClient	RequestToClient	Ожидание ответов на запросы	RequestToClient
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@OperationsDirectorApproval	OperationsDirectorApproval	На рассмотрении у руководителя ОПЕРУ	OperationsDirectorApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@SentToPayment	SentToPayment	Передано на выплату	SentToPayment
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@Paid	Paid	Оплачен	Paid
DocumentConfiguration	MedLifeInsuranceCancellation	actors	System	System	Система	System
Rule	MedLifeInsuranceCancellationOperationsDirectorApproval_to_SentToPaymentTransitionRule	rule	validation@FullPackageReceiveDateIsRequired	OperationsDirectorApproval_to_SentToPayment	E: Дата получения полного комплекта обязательна для заполнения	E: validation@FullPackageReceiveDateIsRequired
Rule	MedLifeInsuranceCancellationOperationsDirectorApproval_to_SentToPaymentTransitionRule	rule	validation@ZeroTotalPaymentAmount	OperationsDirectorApproval_to_SentToPayment	E: Общий размер выплаты равен 0. Передать ДС на выплату не возможно.	E: validation@ZeroTotalPaymentAmount
UiSchema	MedLifeInsuranceCancellationMainContent	ui-label	CancellationInquiry	CancellationInquiry	Запрос в смежные подразделения	CancellationInquiry
DocumentConfiguration	MedLifeInsuranceCancellation	actors	ContractAdministrator	ContractAdministrator	Администратор договоров	ContractAdministrator
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@FinishPOCreation@Title	FinishPOCreation	Завершить формирование РНВ	FinishPOCreation
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	states	states@POCreation	POCreation	Формирование РНВ	POCreation
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingApproval@Title	OperationsApproval_to_AwaitingApproval	Направить на согласование	OperationsApproval_to_AwaitingApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingCancellationDate@Title	OperationsApproval_to_AwaitingCancellationDate	Ожидает дату расторжения	OperationsApproval_to_AwaitingCancellationDate
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@AwaitingCancellationDate_to_OperationsApproval@Title	AwaitingCancellationDate_to_OperationsApproval	Ожидание даты расторжения	AwaitingCancellationDate_to_OperationsApproval
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_AwaitingPaymentDocuments@Title	OperationsApproval_to_AwaitingPaymentDocuments	Ожидает документы на выплату	OperationsApproval_to_AwaitingPaymentDocuments
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_POCreation@Title	OperationsApproval_to_POCreation	Передать на выплату	OperationsApproval_to_POCreation
DocumentFlowDefinition	MedLifeInsuranceCancellationFlow	transitions	transitions@OperationsApproval_to_Rejected@Title	OperationsApproval_to_Rejected	Отказ	OperationsApproval_to_Rejected
