ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	MedLifeInsurancePolicy	actors	Agent	Agent	Агент	Agent
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled_Operations@Title	Active_to_Cancelled_Operations	Подписан -> Отменен (ОПЕРУ)	Active_to_Cancelled_Operations
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active@Title	Draft_to_Active	Проект -> Подписан	Draft_to_Active
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	states	states@Active	Active	Подписан	Active
DocumentConfiguration	MedLifeInsurancePolicy	rootConfiguration	MedLifeInsurancePolicy@Title	MedLifeInsurancePolicy	ДМС. Договор	MedLifeInsurancePolicy
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	PaymentPlan	PaymentPlan	График	PaymentPlan
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
DocumentConfiguration	MedLifeInsurancePolicy	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	MedLifeInsurancePolicy	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Проект -> Отменен	Draft_to_Cancelled
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled@Title	Active_to_Cancelled	Подписан -> Отменен	Active_to_Cancelled
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	transitions	transitions@Active_to_Activated@Title	Active_to_Activated	Подписан -> Действует	Active_to_Activated
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	MedLifeInsurancePolicyFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	MedLifeInsurancePolicyMainContent	ui-label	History	History	История	History
