ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	MedLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	MedLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Активировать
DocumentFlowDefinition	MedLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменить
UiSchema	MedLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	ДС
UiSchema	MedLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
UiSchema	MedLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
DocumentConfiguration	MedLifeInsurancePortfolioMovement	rootConfiguration	MedLifeInsurancePortfolioMovement@Title	MedLifeInsurancePortfolioMovement	MedLifeInsurancePortfolioMovement	ДС на передачу портфеля
DataSchema	MedLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	MedLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
