ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	MedLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	MedLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
DocumentConfiguration	MedLifeInsuranceTechnicalAmendment	rootConfiguration	MedLifeInsuranceTechnicalAmendment@Title	MedLifeInsuranceTechnicalAmendment	MedLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentConfiguration	MedLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	MedLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	MedLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
