ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyEditor	Add
Administrator	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyViewer	Add
Administrator	Allow Actor	NaturalPerson	MasterEntityConfiguration	SkipValidationIS	Add
PartyViewer	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyViewer	Add
PartyEditor	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyEditor	Add
PartyEditorPhoneActuality	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyEditor	Add
OrganisationAdministrator	Allow Actor	NaturalPerson	MasterEntityConfiguration	OrganisationAdministrator	Add
SkipPassport	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyEditor	Add
General	Execute Service	ComplianceInternalNotificationIntegrationService	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	ComplianceInternalNotificationIntegrationService	IntegrationServiceConfiguration	*	Add
PartyEditorAGENT	Allow Actor	NaturalPerson	MasterEntityConfiguration	PartyEditor	Add
