ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
MasterEntityConfiguration	NaturalPerson	rootConfiguration	NaturalPerson@Title	NaturalPerson	Физ. лицо	NaturalPerson
MasterEntityConfiguration	NaturalPerson	actors	PartyViewer	PartyViewer	Просмотр	PartyViewer
MasterEntityConfiguration	NaturalPerson	actors	PartyEditor	PartyEditor	Редактирование	PartyEditor
UiSchema	NaturalPersonMainContent	ui-label	MainTab	MainTab	Основная информация	MainTab
UiSchema	NaturalPersonMainContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	NaturalPersonSummaryContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	NaturalPersonConfiguration	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	NaturalPersonMainContent	ui-label	QuestionnaireTab	QuestionnaireTab	Анкеты	QuestionnaireTab
MasterEntityConfiguration	NaturalPerson	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
UiSchema	NaturalPersonMainContent	ui-label	AdditionalDataTab	AdditionalDataTab	Дополнительная информация	AdditionalDataTab
MasterEntityConfiguration	NaturalPerson	actors	SkipValidationIS	SkipValidationIS	Сохранение без проверок	SkipValidationIS
Rule	NaturalPersonValidationParty	rule	validation@isPodFt	validationParty	N: ОШИБКА. Выпуск полиса запрещен! Комплексная проверка клиентов не пройдена. По всем вопросам обращаться по почте 115fz@rgsl.ru»	N: validation@isPodFt
UiSchema	NaturalPersonMainContent	ui-label	PartyHistoryChanges	PartyHistoryChanges	История изменений	PartyHistoryChanges
UiSchema	NaturalPersonMainContent	ui-label	VerificationsTab	VerificationsTab	Проверки ПОД/ФТ	VerificationsTab
ClientAction	NaturalPersonBeforeSave	ui-message	PartyIsParticipant	beforeSave	Сохранение не возможно, контрагент является участником договора	Party is contract participant
