ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Allow Actor	OrganisationUnitImplLookup	ViewConfiguration	General	Add
OrganisationAdministrator	Allow Actor	OrganisationUnit	MasterEntityConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	OrganisationUnitImplOverview	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	OrganisationUnitImplOverviewDetails	ViewConfiguration	OrganisationAdministrator	Add
General	Allow Actor	ServiceProviderSearchView	ViewConfiguration	General	Add
OrganisationAdministrator	Allow Actor	ServiceProviderSearchViewGeneral	ViewConfiguration	OrganisationAdministrator	Add
OrganisationViewer	Allow Actor	ServiceProviderSearchViewGeneral	ViewConfiguration	OrganisationViewer	Add
OrganisationViewer	Allow Actor	OrganisationUnit	MasterEntityConfiguration	OrganisationViewer	Add
OrganisationViewer	Allow Actor	OrganisationUnitImplOverview	ViewConfiguration	OrganisationViewer	Add
OrganisationViewer	Allow Actor	OrganisationUnitImplOverviewDetails	ViewConfiguration	OrganisationViewer	Add
General	Execute Service	ChildrenOrganisationUnitsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetOrganisationUnitInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	OrganisationUnitsByCodeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	OrganisationUnitsByEmployeeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	OrganisationUnitsImplDataSource	DataSourceConfiguration	*	Add
General	Execute Service	OrganisationUnitsSearchDataSource	DataSourceConfiguration	*	Add
