ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
MasterEntityConfiguration	OrganisationUnit	rootConfiguration	OrganisationUnit@Title	OrganisationUnit	Подразделение	OrganisationUnit
MasterEntityConfiguration	OrganisationUnit	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
Rule	OrganisationUnitValidateOrganisationUnit	rule	validation@onlyParentOrPartner	validateOrganisationUnit	E: Необходимо указать либо родительское подразделение либо партнера	E: validation@onlyParentOrPartner
UiSchema	OrganisationUnitMainContent	ui-label	General Information	General Information	Общая информация	General Information
UiSchema	OrganisationUnitMainContent	ui-label	name	name	Наименование	name
UiSchema	OrganisationUnitMainContent	ui-label	parentName	parentName	Наименование родителя	parentName
UiSchema	OrganisationUnitMainContent	ui-label	partnerName	partnerName	Наименование партнера	partnerName
UiSchema	OrganisationUnitMainContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	OrganisationUnitSummaryContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	OrganisationUnitMainContent	ui-label	fullName	fullName	Полное наименование	fullName
UiSchema	OrganisationUnitMainContent	ui-label	code	code	Код	code
UiSchema	OrganisationUnitMainContent	ui-label	coach	coach	Коуч	coach
UiSchema	OrganisationUnitMainContent	ui-label	territorialChief	territorialChief	Территориальный руководитель	territorialChief
UiSchema	OrganisationUnitMainContent	ui-label	regionalChief	regionalChief	Региональный директор	regionalChief
DataSchema	OrganisationUnit	field-title	name	name	Наименование	name
DataSchema	OrganisationUnit	field-title	fullName	fullName	Полное наименование	fullName
DataSchema	OrganisationUnit	field-title	code	code	Код	code
MasterEntityConfiguration	OrganisationUnit	actors	OrganisationViewer	OrganisationViewer	Просмотр	OrganisationViewer
