ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ServiceProviderSearchView	rootConfiguration	ServiceProviderSearchView@Title	ServiceProviderSearchView	Поиск поставщиков услуг	Service provider overview
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	General search	General search	Общий поиск	General Search
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	Service provide type	Service provide type	Тип поставщика услуг	Service provider type
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	serviceProviderCode	serviceProviderCode	ИД поставщика услуг	serviceProviderCode
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	businessCode	businessCode	Код поставщика услуг	businessCode
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	partyCode	partyCode	Код контрагента	partyCode
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	partyDisplayName	partyDisplayName	Наименование контрагента	partyDisplayName
ViewConfiguration	ServiceProviderSearchView	dataExport	ServiceProvidersExport	ServiceProvidersExport	Экспорт поставщиков услуг	ServiceProvidersExport
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	Export	Export	Экспорт	Export
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	Employee	Employee	Сотрудник	Employee
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	organisationUnit	organisationUnit	Подразделение	organisationUnit
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	includeChildren	includeChildren	С учетом дочерних	includeChildren
ViewConfiguration	ServiceProviderSearchView	actors	General	General	General	General
UiSchema	ServiceProviderSearchViewFiltersContent	ui-label	isPersonalManager	isPersonalManager	Персональный менеджер	isPersonalManager
UiSchema	ServiceProviderSearchViewResultsContent	ui-label	sadNumber	sadNumber	Номер САД	sadNumber
