ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	Partner	field-title	partyCode	partyCode	Код контрагента	partyCode
DataSchema	Partner	field-title	partyDisplayName	partyDisplayName	Наименование контрагента	partyDisplayName
UiSchema	PartnerMainContent	ui-label	MainTab	MainTab	Общая информация	MainTab
UiSchema	PartnerMainContent	ui-label	partyCode	partyCode	Код контрагента	partyCode
UiSchema	PartnerMainContent	ui-label	partyDisplayName	partyDisplayName	Наименование контрагента	partyDisplayName
Rule	PartnerValidatePartner	rule	validation@partnerCodeIsRequired	validatePartner	E: Необходимо указать код партнера	E: validation@partnerCodeIsRequired
Rule	PartnerValidatePartner	rule	validation@partyIsRequired	validatePartner	E: Необходимо указать контрагента	E: validation@partyIsRequired
MasterEntityConfiguration	Partner	rootConfiguration	Partner@Title	Partner	Партнер	Partner@Title
UiSchema	PartnerMainContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	PartnerSummaryContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	PartnerConfiguration	operations	operations@Save@Title	Save	Сохранить	Save
DataSchema	Partner	field-title	partnerCode	partnerCode	Код партнера	partnerCode
UiSchema	PartnerMainContent	ui-label	partnerCode	partnerCode	Код партнера	partnerCode
DataSchema	Partner	field-title	partnerType	partnerType	Тип партнера	partnerType
DataSchema	Partner	enum	partnerType@agent	agent	Агент	agent
DataSchema	Partner	enum	partnerType@broker	broker	Брокер	broker
UiSchema	PartnerMainContent	ui-label	partnerType	partnerType	Тип партнера	partnerType
Rule	PartnerValidatePartner	rule	validation@partnerTypeIsRequired	validatePartner	E: Необходимо указать тип партнера	E: validation@partnerTypeIsRequired
MasterEntityConfiguration	Partner	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DataSchema	Partner	enum	partnerType@insuranceCompany	insuranceCompany	СК	insuranceCompany
MasterEntityConfiguration	Partner	actors	OrganisationViewer	OrganisationViewer	Просмотр	OrganisationViewer
