ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Allow Actor	BankLookup	ViewConfiguration	General	Add
PartyViewer	Allow Actor	GeneralPartySearchView	ViewConfiguration	General	Add
PartyEditor	Allow Actor	GeneralPartySearchView	ViewConfiguration	General	Add
PartyViewer	Allow Actor	GeneralPartySearchWithEditView	ViewConfiguration	General	Add
PartyEditor	Allow Actor	GeneralPartySearchWithEditView	ViewConfiguration	General	Add
PartyEditor	Allow Actor	LegalEntityBasicEdit	ViewConfiguration	General	Add
PartyEditor	Allow Actor	NaturalPersonBasicEdit	ViewConfiguration	General	Add
Agent	Allow Actor	GeneralPartySearchWithEditView	ViewConfiguration	General	Add
Agent	Allow Actor	LegalEntityBasicEdit	ViewConfiguration	General	Add
Agent	Allow Actor	NaturalPersonBasicEdit	ViewConfiguration	General	Add
General	Allow Actor	PartyTaxResidenceHistoryView	ViewConfiguration	General	Add
General	Allow Actor	PartyHistoryChangesView	ViewConfiguration	General	Add
General	Allow Actor	PartyFinQuestHistoryView	ViewConfiguration	General	Add
General	Allow Actor	PartyFinQuestHistoryView2023	ViewConfiguration	General	Add
SkipValidationIS	Execute Service	SetNaturalPersonPodFt	IntegrationServiceConfiguration	*	Add
General	Execute Service	SetNaturalPersonPodFt	IntegrationServiceConfiguration	*	Add
General	Allow Actor	PartyDuplicateView	ViewConfiguration	General	Add
General	Execute Service	PartyUpdateIntegrationService	IntegrationServiceConfiguration	*	Add
SMGO	Allow Actor	BankLookup	ViewConfiguration	General	Add
WTTJ	Allow Actor	BankLookup	ViewConfiguration	General	Add
General	Execute Service	BanksDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CurrenciesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GeneralPartyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetDeduplicationInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartiesByCriteriaDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartyBankAccountsOnlyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartyDataByBankAccountDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartyDuplicatesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPartyEmailDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyAddressTypesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyBeneficiaryOwnerDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyCountryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyCountryPhoneCodeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyDocumentTypesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyExecutivePersonDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyFatcaClassDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyFinQuestHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyGoalOfFinancialActivityDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyIncomeSourceDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyOrganisationalFormDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyPhoneTypesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyRegistrationAgencyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyRelationsTypeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartySegmentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyTaxResidenceHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyHistoryChangesDataSource	DataSourceConfiguration	*	Add
General	Allow Actor	PartyFinQuestHistoryView2024	ViewConfiguration	General	Add
PartyEditorAGENT	Allow Actor	GeneralPartySearchView	ViewConfiguration	General	Add
PartyEditorAGENT	Allow Actor	GeneralPartySearchWithEditView	ViewConfiguration	General	Add
PartyEditorAGENT	Allow Actor	LegalEntityBasicEdit	ViewConfiguration	General	Add
PartyEditorAGENT	Allow Actor	NaturalPersonBasicEdit	ViewConfiguration	General	Add
