ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	beneficiaryOwnerQuestionnaire	beneficiaryOwnerQuestionnaire	Анкета бенефициарного владельца	beneficiaryOwnerQuestionnaire
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	employerName	employerName	Наименование работодателя	employerName
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	employerAddress	employerAddress	Адрес работодателя	employerAddress
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	answer1	answer1	Является ли Ваш бенефициарный владелец иностранным публичным должностным лицом, его супругом, близким родственником (родственником по прямой восходящей или нисходящей линии (родителем или ребёнком, дедушкой, бабушкой или внуком), полнородными или неполнородными (имеющими общего отца или мать) братом или сестрой, усыновителем или усыновленным)? В случае ответа «да», укажите степень родства/должность, наименование и адрес работодателя:	answer1
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	answer2	answer2	Является ли Ваш бенефициарный владелец российским публичным должностным лицом, а так же лицом, замещающим (занимающим) государственные должности РФ, должности членов Совета директоров Банка России, должности федеральной государственной службы, назначение на которые и освобождение от которых осуществляются Президентом РФ или Правительством РФ, должности в Банке России, государственных корпорациях и иных организациях, созданных РФ на основании федеральных законов, включенные в перечни должностей, определяемые Президентом РФ, а так же супругом, близким родственником (родственником по прямой восходящей или нисходящей линии (родителем или ребёнком, дедушкой, бабушкой или внуком), полнородными или неполнородными (имеющими общего отца или мать) братом или сестрой, усыновителем или усыновленным) вышеперечисленных лиц? В случае ответа «да», укажите степень родства/должность, наименование и адрес работодателя:	answer2
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	answer3	answer3	Является ли Ваш бенефициарный владелец должностным лицом публичных международных организаций, его супругом, близким родственником (родственником по прямой восходящей или нисходящей линии (родителем или ребёнком, дедушкой, бабушкой или внуком), полнородными или неполнородными (имеющими общего отца или мать) братом или сестрой, усыновителем или усыновленным)? В случае ответа «да», укажите степень родства/должность, наименование и адрес работодателя:	answer3
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	relationType	relationType	Степень родства	relationType
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	relationTypeDesc	relationTypeDesc	Степень родства	relationTypeDesc
UiSchema	BeneficiaryOwnerQuestionnaire	ui-label	position	position	Должность	position
Rule	BeneficiaryOwnerQuestionnaireValidateBeneficiaryOwnerQuestionnaire	rule	validation@relationTypeRequired	validateBeneficiaryOwnerQuestionnaire	E: Степень родства или должность должна быть заполнена	E: relationTypeRequired
Rule	BeneficiaryOwnerQuestionnaireValidateBeneficiaryOwnerQuestionnaire	rule	validation@positionRequired	validateBeneficiaryOwnerQuestionnaire	E: Должность или степень родства должна быть заполнена	E: positionRequired
Rule	BeneficiaryOwnerQuestionnaireValidateBeneficiaryOwnerQuestionnaire	rule	validation@employerNameRequired	validateBeneficiaryOwnerQuestionnaire	E: Наименование работодателя должно быть заполнено	E: employerNameRequired
Rule	BeneficiaryOwnerQuestionnaireValidateBeneficiaryOwnerQuestionnaire	rule	validation@employerAddressRequired	validateBeneficiaryOwnerQuestionnaire	E: Адрес работодателя должен быть заполнен	E: employerAddressRequired
