ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyOGRN	field-title	dateOfStateRegistration	dateOfStateRegistration	Дата государственной регистрации	dateOfStateRegistration
DataSchema	PartyOGRN	field-title	OGRNOGRNIP	OGRNOGRNIP	ОГРН/ОГРНИП	OGRNOGRNIP
DataSchema	PartyOGRN	field-title	dateOfRecordingTermination	dateOfRecordingTermination	Дата внесения записи о прекращении деятельности	dateOfRecordingTermination
DataSchema	PartyOGRN	field-title	registrationAgencyCode	registrationAgencyCode	Наименование регистрирующего органа	registrationAgencyCode
DataSchema	PartyOGRN	field-title	isManualRegistrationAgency	isManualRegistrationAgency	Внести наименование регистрирующего органа вручную	isManualRegistrationAgency
DataSchema	PartyOGRN	field-title	registrationAgencyNameManual	registrationAgencyNameManual	Наименование регистрирующего органа (ручной ввод)	registrationAgencyNameManual
UiSchema	PartyOGRN	ui-label	dateOfRecordingTermination	dateOfRecordingTermination	Дата внесения записи о прекращении деятельности	dateOfRecordingTermination
UiSchema	PartyOGRN	ui-label	OGRNOGRNIP	OGRNOGRNIP	ОГРН/ОГРНИП	OGRNOGRNIP
UiSchema	PartyOGRN	ui-label	dateOfStateRegistration	dateOfStateRegistration	Дата государственной регистрации	dateOfStateRegistration
UiSchema	PartyOGRN	ui-label	registrationAgencyCode	registrationAgencyCode	Наименование регистрирующего органа	registrationAgencyCode
UiSchema	PartyOGRN	ui-label	isManualRegistrationAgency	isManualRegistrationAgency	Внести наименование регистрирующего органа вручную	isManualRegistrationAgency
UiSchema	PartyOGRN	ui-label	registrationAgencyNameManual	registrationAgencyNameManual	Наименование регистрирующего органа (ручной ввод)	registrationAgencyNameManual
Rule	PartyOGRNValidationPartyOGRN	rule	validation@isErrorOGRN	validationPartyOGRN	E: ОГРН не проходит валидацию	E: validation@isErrorOGRN
Rule	PartyOGRNValidationPartyOGRN	rule	validation@comingDate	validationPartyOGRN	E: Дата больше текущей	E: validation@comingDate
Rule	PartyOGRNValidationPartyOGRN	rule	validation@dateStartAftreStop	validationPartyOGRN	E: Дата ликвидации раньше даты регистрации	E: validation@dateStartAftreStop
Rule	PartyOGRNValidationPartyOGRN	rule	validation@OGRNIsRequired	validationPartyOGRN	E: Необходимо заполнить ОГРН/ОГРНИП.	E: validation@OGRNIsRequired
Rule	PartyOGRNValidationPartyOGRN	rule	validation@dateOfStateRegistrationIsRequired	validationPartyOGRN	E: Необходимо заполнить Дата государственной регистрации.	E: validation@dateOfStateRegistrationIsRequired
Rule	PartyOGRNValidationPartyOGRN	rule	validation@registrationAgencyCodeIsRequired	validationPartyOGRN	E: Необходимо заполнить Наименование регистрирующего органа	E: validation@registrationAgencyCodeIsRequired
Rule	PartyOGRNValidationPartyOGRN	rule	validation@registrationAgencyNameManualIsRequired	validationPartyOGRN	E: Необходимо заполнить Наименование регистрирующего органа (ручной ввод)	E: validation@registrationAgencyNameManualIsRequired
