ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyOrganisationData	field-title	fullOrgName	fullOrgName	Полное наименование	fullOrgName
DataSchema	PartyOrganisationData	field-title	shortOrgName	shortOrgName	Сокращенное наименование	shortOrgName
DataSchema	PartyOrganisationData	field-title	numberOfEmployee	numberOfEmployee	Количество сотрудников	numberOfEmployee
DataSchema	PartyOrganisationData	field-title	organisationalForm	organisationalForm	Организационная форма	organisationalForm
DataSchema	PartyOrganisationData	field-title	KPP	KPP	КПП	KPP
DataSchema	PartyOrganisationData	field-title	organisationalFormCode	organisationalFormCode	organisationalFormCode	organisationalFormCode
DataSchema	PartyOrganisationData	field-title	organisationalFormDesc	organisationalFormDesc	organisationalFormDesc	organisationalFormDesc
DataSchema	PartyOrganisationData	field-title	isSoleExecutiveAuthority	isSoleExecutiveAuthority	Сведения о единоличном исполнительном органе ЮЛ/ИП	isSoleExecutiveAuthority
DataSchema	PartyOrganisationData	field-title	isDefault	isDefault	Признак дефолта	isDefault
DataSchema	PartyOrganisationData	field-title	unfulfilledObligationCB	unfulfilledObligationCB	Наличие неисполненного обязательства по ЦБ	unfulfilledObligationCB
DataSchema	PartyOrganisationData	field-title	licenseRevoked	licenseRevoked	Отозвана лицензия	licenseRevoked
DataSchema	PartyOrganisationData	field-title	bankruptcyProcedure	bankruptcyProcedure	Введена процедура банкротства	bankruptcyProcedure
DataSchema	PartyOrganisationData	field-title	unfulfilledObligationByGuarantee	unfulfilledObligationByGuarantee	Наличие неисполненного обязательства по поручительству	unfulfilledObligationByGuarantee
DataSchema	PartyOrganisationData	field-title	anotherSign	anotherSign	Другой признак	anotherSign
DataSchema	PartyOrganisationData	field-title	unfulfilledObligationCBComment	unfulfilledObligationCBComment	Наличие неисполненного обязательства по ЦБ (комментарий)	unfulfilledObligationCBComment
DataSchema	PartyOrganisationData	field-title	licenseRevokedComment	licenseRevokedComment	Отозвана лицензия (комментарий)	licenseRevokedComment
DataSchema	PartyOrganisationData	field-title	bankruptcyProcedureComment	bankruptcyProcedureComment	Введена процедура банкротства (комментарий)	bankruptcyProcedureComment
DataSchema	PartyOrganisationData	field-title	unfulfilledObligationByGuaranteeComment	unfulfilledObligationByGuaranteeComment	Наличие неисполненного обязательства по поручительству (комментарий)	unfulfilledObligationByGuaranteeComment
DataSchema	PartyOrganisationData	field-title	anotherSignComment	anotherSignComment	Другой признак (комментарий)	anotherSignComment
UiSchema	PartyOrganisationData	ui-label	Party Organisation Data	Party Organisation Data	Данные организации	Party Organisation Data
UiSchema	PartyOrganisationData	ui-label	fullOrgName	fullOrgName	Полное наименование	fullOrgName
UiSchema	PartyOrganisationData	ui-label	shortOrgName	shortOrgName	Сокращенное наименование	shortOrgName
UiSchema	PartyOrganisationData	ui-label	numberOfEmployee	numberOfEmployee	Количество сотрудников	numberOfEmployee
UiSchema	PartyOrganisationData	ui-label	organisationalForm	organisationalForm	Организационная форма	organisationalForm
UiSchema	PartyOrganisationData	ui-label	KPP	KPP	КПП	KPP
UiSchema	PartyOrganisationData	ui-label	soleExecutiveAuthority	soleExecutiveAuthority	Сведения о единоличном исполнительном органе ЮЛ/ИП	soleExecutiveAuthority
UiSchema	PartyOrganisationData	ui-label	isDefault	isDefault	Признак дефолта	isDefault
UiSchema	PartyOrganisationData	ui-label	licenseRevoked	licenseRevoked	Отозвана лицензия	licenseRevoked
UiSchema	PartyOrganisationData	ui-label	licenseRevokedDesc	licenseRevokedDesc	У лица отозвана (аннулирована) лицензия на осуществление банковских операций либо отозвана (аннулирована) лицензия на осуществление деятельности на финансовом рынке, если такой вид деятельности является основным видом деятельности такого лица, отраженным в едином государственном реестре юридических лиц, либо сведения о лице исключены из реестра некредитных финансовых организаций, ведение которого осуществляется Банком России	licenseRevokedDesc
UiSchema	PartyOrganisationData	ui-label	bankruptcyProcedure	bankruptcyProcedure	Введена процедура банкротства	bankruptcyProcedure
UiSchema	PartyOrganisationData	ui-label	bankruptcyProcedureDesc	bankruptcyProcedureDesc	В отношении лица введена процедура банкротства в соответствии с законодательством Российской Федерации о несостоятельности (банкротстве)	bankruptcyProcedureDesc
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationCB	unfulfilledObligationCB	Наличие неисполненного обязательства по ЦБ	unfulfilledObligationCB
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationCBDesc	unfulfilledObligationCBDesc	Лицо имеет не исполненное в срок и в полном объеме обязательство перед владельцами ценных бумаг, выпущенных (выданных) таким лицом	unfulfilledObligationCBDesc
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationByGuarantee	unfulfilledObligationByGuarantee	Наличие неисполненного обязательства по поручительству	unfulfilledObligationByGuarantee
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationByGuaranteeDesc	unfulfilledObligationByGuaranteeDesc	Лицо имеет не исполненное в срок и в полном объеме обязательство по договору поручительства (независимой гарантии), которым обеспечивается исполнение обязательств по ценным бумагам	unfulfilledObligationByGuaranteeDesc
UiSchema	PartyOrganisationData	ui-label	anotherSign	anotherSign	Другой признак	anotherSign
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationCBComment	unfulfilledObligationCBComment	Наличие неисполненного обязательства по ЦБ (комментарий)	unfulfilledObligationCBComment
UiSchema	PartyOrganisationData	ui-label	licenseRevokedComment	licenseRevokedComment	Отозвана лицензия (комментарий)	licenseRevokedComment
UiSchema	PartyOrganisationData	ui-label	bankruptcyProcedureComment	bankruptcyProcedureComment	Введена процедура банкротства (комментарий)	bankruptcyProcedureComment
UiSchema	PartyOrganisationData	ui-label	unfulfilledObligationByGuaranteeComment	unfulfilledObligationByGuaranteeComment	Наличие неисполненного обязательства по поручительству (комментарий)	unfulfilledObligationByGuaranteeComment
UiSchema	PartyOrganisationData	ui-label	anotherSignComment	anotherSignComment	Другой признак (комментарий)	anotherSignComment
UiSchema	PartyOrganisationData	ui-label	fullOrgNameEng	fullOrgNameEng	Full name	Full Name
UiSchema	PartyOrganisationData	ui-label	shortOrgNameEng	shortOrgNameEng	Abbreviated name	Short name
UiSchema	PartyOrganisationData	ui-label	Party Registration Data	Party Registration Data	Информация о государственной регистрации	Party Registration Data
Rule	PartyOrganisationDataValidationPartyOrganisationData	rule	validation@isEmptyOrganisationalForm	validationPartyOrganisationData	E: Не заполнено поле: Организационная форма	E: validation@isEmptyOrganisationalForm
Rule	PartyOrganisationDataValidationPartyOrganisationData	rule	validation@isErrorKPP	validationPartyOrganisationData	E: КПП не проходит проверку: либо пустое, либо значение не проходит валидацию	E: validation@isErrorKPP
Rule	PartyOrganisationDataValidationPartyOrganisationData	rule	validation@soleExecutiveAuthorityIsRequired	validationPartyOrganisationData	E: Необходимо указать единоличный исполнительный орган	E: validation@soleExecutiveAuthorityIsRequired
Rule	PartyOrganisationDataValidationPartyOrganisationData	rule	validation@commentIsRequired	validationPartyOrganisationData	E: Укажите комментарий	E: validation@commentIsRequired
Rule	PartyOrganisationDataValidationPartyOrganisationData	rule	validation@personRepresentativeIsRequired	validationPartyOrganisationData	E: Необходимо указать представителя	E: validation@personRepresentativeIsRequired
DataSchema	PartyOrganisationData	field-title	isPersonRepresentative	isPersonRepresentative	Представитель Юр. лица	isPersonRepresentative
UiSchema	PartyOrganisationData	ui-label	isPersonRepresentative	isPersonRepresentative	Представитель Юр. лица	isPersonRepresentative
