ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyRoleOfPerson	field-title	partyRole	partyRole	Роль (для визуализации валидаций)	partyRole
DataSchema	PartyRoleOfPerson	enum	partyRole@/policyHolder	/policyHolder	Страхователь	policyHolder
DataSchema	PartyRoleOfPerson	enum	partyRole@/insuredPerson	/insuredPerson	Застрахованный	insuredPerson
DataSchema	PartyRoleOfPerson	enum	partyRole@/beneficiary	/beneficiary	Выгодоприобретатель	beneficiary
DataSchema	PartyRoleOfPerson	enum	partyRole@/agentNaturalPerson	/agentNaturalPerson	Агент	agent
DataSchema	PartyRoleOfPerson	enum	partyRole@/policyHolderLegalEntity	/policyHolderLegalEntity	Страхователь	policyHolder
DataSchema	PartyRoleOfPerson	enum	partyRole@/insuredPersonLegalEntity	/insuredPersonLegalEntity	Застрахованный	insuredPerson
DataSchema	PartyRoleOfPerson	enum	partyRole@/agentLegalEntity	/agentLegalEntity	Агент	agent
DataSchema	PartyRoleOfPerson	enum	partyRole@/applicantNaturalPerson	/applicantNaturalPerson	Заявитель	Applicant
DataSchema	PartyRoleOfPerson	enum	partyRole@/taxPayer	/taxPayer	Налогоплательщик	taxPayer
UiSchema	PartyRoleOfPerson	ui-label	Party Role	Party Role	Роль (для визуализации валидаций)	Party Role
UiSchema	PartyRoleOfPerson	ui-label	partyRole	partyRole	Роль (для визуализации валидаций)	partyRole
DataSchema	PartyRoleOfPerson	enum	partyRole@/beneficiaryOwner	/beneficiaryOwner	ЕИО/БВ/Представитель	beneficiaryOwner
DataSchema	PartyRoleOfPerson	enum	partyRole@/policyHolderBox	/policyHolderBox	Страхователь для коробочных продуктов	policyHolderBox
DataSchema	PartyRoleOfPerson	enum	partyRole@/insuredPersonBox	/insuredPersonBox	Застрахованный для коробочных продуктов	insuredPersonBox
DataSchema	PartyRoleOfPerson	enum	partyRole@/beneficiaryRepresentative	/beneficiaryRepresentative	Представитель выгодоприобретателя	beneficiaryRepresentative
