ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PartyTaxResidency	field-title	residenceCountry	residenceCountry	Страна пребывания	residenceCountry
DataSchema	PartyTaxResidency	field-title	docType	docType	Документ, подтверждающий пребывание	docType
DataSchema	PartyTaxResidency	field-title	otherDocTypeDesc	otherDocTypeDesc	Наименование иного вида документа	otherDocTypeDesc
DataSchema	PartyTaxResidency	field-title	startDate	startDate	Срок пребывания, с	startDate
DataSchema	PartyTaxResidency	field-title	endDate	endDate	Срок пребывания, по	endDate
DataSchema	PartyTaxResidency	field-title	daysCount	daysCount	Количество дней	daysCount
UiSchema	PartyTaxResidency	ui-label	residenceCountry	residenceCountry	Страна пребывания	residenceCountry
UiSchema	PartyTaxResidency	ui-label	docType	docType	Документ, подтверждающий пребывание	docType
UiSchema	PartyTaxResidency	ui-label	otherDocTypeDesc	otherDocTypeDesc	Наименование иного вида документа	otherDocTypeDesc
UiSchema	PartyTaxResidency	ui-label	startDate	startDate	Срок пребывания, с	startDate
UiSchema	PartyTaxResidency	ui-label	endDate	endDate	Срок пребывания, по	endDate
UiSchema	PartyTaxResidency	ui-label	daysCount	daysCount	Количество дней	daysCount
Rule	PartyTaxResidencyValidatePartyTaxResidency	rule	validation@residenceCountryRequired	validatePartyTaxResidency	E: Необходимо заполнить Страна пребывания	E: validation@residenceCountryRequired
Rule	PartyTaxResidencyValidatePartyTaxResidency	rule	validation@docTypeRequired	validatePartyTaxResidency	E: Необходимо заполнить Документ, подтверждающий пребывание	E: validation@docTypeRequired
Rule	PartyTaxResidencyValidatePartyTaxResidency	rule	validation@otherDocTypeDescRequired	validatePartyTaxResidency	E: Необходимо заполнить Наименование иного вида документа	E: validation@otherDocTypeDescRequired
Rule	PartyTaxResidencyValidatePartyTaxResidency	rule	validation@startDateRequired	validatePartyTaxResidency	E: Необходимо заполнить Срок пребывания, с	E: validation@startDateRequired
Rule	PartyTaxResidencyValidatePartyTaxResidency	rule	validation@endDateRequired	validatePartyTaxResidency	E: Необходимо заполнить Срок пребывания, по	E: validation@endDateRequired
