ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	bankId	bankId	ИД банка	bankId
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	bankName	bankName	Банк	bankName
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	bankBic	bankBic	БИК	bankBic
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	bankCorrespondentAccount	bankCorrespondentAccount	Корр. счет	bankCorrespondentAccount
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	SWIFT	SWIFT	SWIFT	SWIFT
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	IBAN	IBAN	IBAN	IBAN
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	foreignBank	foreignBank	Иностранный банк	foreignBank
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	currency	currency	Валюта	currency
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	currencyCode	currencyCode	Код валюты	currencyCode
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	currencyDesc	currencyDesc	Описание валюты	currencyDesc
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	currencyNumericCode	currencyNumericCode	Числовой код валюты	currencyNumericCode
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	number	number	Номер	number
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	openingDate	openingDate	Дата открытия	openingDate
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	closingDate	closingDate	Дата закрытия	closingDate
DataSchema	GetPartyBankAccountsOnlyDataSourceResultSchema	field-title	bankInn	bankInn	ИНН	bankInn
