ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
Library	PartyValidationHelper	library	validation@illegalSymbols	partyValidationHelper	E: validation@illegalSymbols	E: Должно содержать только символы кириллицы/латиницы, пробелы и дефисы
Library	PartyValidationHelper	library	validation@cyrillicAndLatinTogether	partyValidationHelper	E: validation@cyrillicAndLatinTogether	E: Не должно содержать одновременно символы кириллицы и латиницы
Library	PartyValidationHelper	library	validation@illegalFirstLastSymbol	partyValidationHelper	E: validation@illegalFirstLastSymbol	E: Пробел/дефис не должен быть первым/последним символом
Library	PartyValidationHelper	library	validation@twoSpacesOrHyphens	partyValidationHelper	E: validation@twoSpacesOrHyphens	E: Не должно содержать более одного пробела или дефиса подряд
Library	PartyValidationHelper	library	validation@cyrillicAndLatinTogetherFullName	partyValidationHelper	E: validation@cyrillicAndLatinTogetherFullName	E: Не допускается смешение кирилицы и латиницы в ФИО
Library	PartyValidationHelper	library	validation@firstLetterCapital	partyValidationHelper	E: validation@firstLetterCapital	E: Первая буква должна быть заглавной
Library	PartyValidationByRole	library	validation@noPassport	partyValidationByRole	E: validation@noPassport	E: Заполните секцию Документы: добавьте документ удостоверяющий личность
Library	PartyValidationByRole	library	validation@noRegistrationAddress	partyValidationByRole	E: validation@noRegistrationAddress	E: Заполните Секцию Адреса: добавьте Адрес Регистрации
Library	PartyValidationByRole	library	validation@noFactAddress	partyValidationByRole	E: validation@noFactAddress	E: Заполните Секцию Адреса: добавьте Адрес Фактический (проживания)
Library	PartyValidationByRole	library	validation@noPostalAddress	partyValidationByRole	E: validation@noPostalAddress	E: Заполните Секцию Адреса: добавьте Адрес Корреспонденции
Library	PartyValidationByRole	library	validation@noBirthPlace	partyValidationByRole	E: validation@noBirthPlace	E: Заполните Секцию Данные Физического лица: введите Место рождения
Library	PartyValidationByRole	library	validation@noCountryPlace	partyValidationByRole	E: validation@noCountryPlace	E: Заполните Секцию Данные Физического лица: введите Страну рождения
Library	PartyValidationByRole	library	validation@noCitizenship	partyValidationByRole	E: validation@noCitizenship	E: Заполните Секцию Данные Физического лица: введите Гражданство
Library	PartyValidationByRole	library	validation@isEmptyPhone	partyValidationByRole	E: validation@isEmptyPhone	E: Заполните Секцию Телефоны: должен быть указан как минимум один телефон
Library	PartyValidationByRole	library	validation@isEmptySNILS	partyValidationByRole	E: validation@isEmptySNILS	E: Заполните Секцию Данные Физического лица: введите СНИЛС
Library	PartyValidationByRole	library	validation@isEmptyINN	partyValidationByRole	E: validation@isEmptyINN	E: Заполните Секцию Общая Информация: введите ИНН
Library	PartyValidationByRole	library	validation@noActualRegistrationAddress	partyValidationByRole	E: validation@noActualRegistrationAddress	E: Заполните Секцию Адреса: добавьте Адрес Регистрации С Актуальной Датой
Library	PartyValidationByRole	library	validation@cantCheckCompletenessRegistrationAddress	partyValidationByRole	E: validation@cantCheckCompletenessRegistrationAddress	E: Заполните Секцию Адреса: добавьте Адрес Регистрации с помощью сервиса поиска и подсказки (не через ручной ввод и не иностранный адрес)
Library	PartyValidationByRole	library	validation@noFullDataRegistrationAddress	partyValidationByRole	E: validation@noFullDataRegistrationAddress	E: Заполните Секцию Адреса: добавьте Адрес Регистрации. Дополните Данные Необходимо чтобы были заполнены поля: Индекс, Страна, Город/Населенный пункт, Улица, Дом.
Library	PartyValidationByRole	library	validation@noPassportForAgent	partyValidationByRole	E: validation@noPassportForAgent	E: Заполните секцию Документы: добавьте документ удостоверяющий личность. Паспорт РФ для агента резидента либо иностранного гражданина для агента нерезидента
Library	PartyValidationByRole	library	validation@noActualPassport	partyValidationByRole	E: validation@noActualPassport	E: Заполните секцию Документы: добавьте документ удостоверяющий личность с актуалными сроками действия
Library	PartyValidationByRole	library	validation@noPhonesForAgent	partyValidationByRole	E: validation@noPhonesForAgent	E: Заполните Секцию Телефоны: должен быть указан как минимум один мобильный телефон, без признака неактуальный
Library	PartyValidationByRole	library	validation@isEmptyEmail	partyValidationByRole	E: validation@isEmptyEmail	E: Заполните Секцию E-mail: должен быть указан как минимум один
Library	PartyValidationByRole	library	validation@isEmptyBankAccounts	partyValidationByRole	E: validation@isEmptyBankAccounts	E: Заполните Секцию Банковские Счета: должен быть указан как минимум один
Library	PartyValidationByRole	library	validation@isEmptyShortOrgName	partyValidationByRole	E: validation@isEmptyShortOrgName	E: Заполните Секцию Данные Организации: введите Сокращенное наименование
