ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	GeneralPartySearchView	rootConfiguration	GeneralPartySearchView@Title	GeneralPartySearchView	Поиск	Party Overview
ViewConfiguration	GeneralPartySearchView	actors	General	General	General	General
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	freeText	freeText	Общий поиск	freeText
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	partyType	partyType	Тип	partyType
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	code	code	Код	code
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	lastName	lastName	Фамилия	lastName
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	firstName	firstName	Имя	firstName
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	middleName	middleName	Отчество	middleName
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	dateOfBirth	dateOfBirth	Дата рождения	dateOfBirth
UiSchema	GeneralPartySearchViewResultsContent	ui-label	code	code	Код	code
UiSchema	GeneralPartySearchViewResultsContent	ui-label	fullName	fullName	Наименование	fullName
UiSchema	GeneralPartySearchViewResultsContent	ui-label	dateOfBirth	dateOfBirth	Дата рождения	dateOfBirth
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	NaturalPerson	NaturalPerson	Физ. лицо	NaturalPerson
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	LegalEntity	LegalEntity	Юр. лицо	LegalEntity
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	OGRNOGRNIP	OGRNOGRNIP	ОГРН/ОГРНИП	OGRNOGRNIP
UiSchema	GeneralPartySearchViewResultsContent	ui-label	OGRNOGRNIP	OGRNOGRNIP	ОГРН/ОГРНИП	OGRNOGRNIP
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	fullName	fullName	Полное наименование	fullName
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	personGender	personGender	Пол	personGender
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	docTypeCode	docTypeCode	Код типа документа	docTypeCode
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	docNumber	docNumber	Номер документа	docNumber
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	docSeries	docSeries	Серия документа	docSeries
UiSchema	GeneralPartySearchViewResultsContent	ui-label	docTypeCode	docTypeCode	Код типа документа	docTypeCode
UiSchema	GeneralPartySearchViewResultsContent	ui-label	docNumber	docNumber	Номер документа	docNumber
UiSchema	GeneralPartySearchViewResultsContent	ui-label	docSeries	docSeries	Серия документа	docSeries
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	isDocClassIdentity	isDocClassIdentity	Поиск по ДУЛ	Only identity documents
UiSchema	GeneralPartySearchViewFiltersContent	ui-label	showDuplicates	showDuplicates	Отображать дубликаты	Show duplicates
