ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
AdminPortfolioTransfer	Allow Actor	PortfolioTransfer	DocumentConfiguration	AdminCommissionAct	Add
ViewerPortfolioTransfer	Allow Actor	PortfolioTransfer	DocumentConfiguration	ViewerCommissionAct	Add
System	Allow Actor	PortfolioTransfer	DocumentConfiguration	System	Add
AdminPortfolioTransfer	Allow Actor	PortfolioTransferItemRgslView	ViewConfiguration	AdminCommissionAct	Add
AdminCommissionAct	Allow Actor	PortfolioTransferHistoryView	ViewConfiguration	AdminCommissionAct	Add
ViewerCommissionAct	Allow Actor	PortfolioTransferHistoryView	ViewConfiguration	ViewerCommissionAct	Add
ServiceExecutor	Execute Service	PtAutoPopulate	IntegrationServiceConfiguration	*	Add
ServiceExecutor	Execute Service	PtDeleteItem	IntegrationServiceConfiguration	*	Add
AdminCommissionAct	Execute Service	PortfolioTransferCancelAllocationEtl	EtlServiceConfiguration	*	Add
AdminCommissionAct	Execute Service	PortfolioTransferCreateAmendmentEtl	EtlServiceConfiguration	*	Add
AdminCommissionAct	Execute Service	PortfolioTransferAllocationEtl	EtlServiceConfiguration	*	Add
ViewerCommissionAct	Allow Actor	PortfolioTransferItemSearchRgslViewInline	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	PortfolioTransferItemSearchRgslViewInline	ViewConfiguration	AdminCommissionAct	Add
ViewerCommissionAct	Allow Actor	PortfolioTransferSearchRgslView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	PortfolioTransferSearchRgslView	ViewConfiguration	AdminCommissionAct	Add
ViewerCommissionAct	Allow Actor	PortfolioTransferItemSearchRgslView	ViewConfiguration	ViewerCommissionAct	Add
AdminCommissionAct	Allow Actor	PortfolioTransferItemSearchRgslView	ViewConfiguration	AdminCommissionAct	Add
General	Execute Service	GetAgentTabNumberDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetAmendmentRelationInfoDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetPortfolioDocumentContractsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetSadNumbersByServiceProviderCodeDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PortfolioTransferHistoryRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PortfolioTransferItemRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PortfolioTransferItemSearchRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PartyTaxResidenceHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PortfolioTransferSearchRgslDataSource	DataSourceConfiguration	*	Add
General	Execute Service	PortfolioTransferItemsRgslExportExcel	DataExportConfiguration	*	Add
General	Execute Service	GetNettedItemsDataSource	DataSourceConfiguration	*	Add
