ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	DocumentNo	DocumentNo	Номер документа	DocumentNo
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	IssueDate	IssueDate	Дата передачи портфеля	IssueDate
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	ServiceProviderNameFrom	ServiceProviderNameFrom	Передано с агента	ServiceProviderNameFrom
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	ServiceProviderNameTo	ServiceProviderNameTo	Передано на агента	ServiceProviderNameTo
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	TransferState	TransferState	Статус перевода	TransferState
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	ReferenceNo	ReferenceNo	Номер договора	ReferenceNo
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	ProductDescription	ProductDescription	Продукт	ProductDescription
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	HolderName	HolderName	Страхователь	HolderName
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	StartDate	StartDate	Дата начала договора	StartDate
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	Link to contract	Link to contract	Ссылка на договор	Link to contract
UiSchema	PortfolioTransferItemSearchResultComponent	ui-label	userName	userName	Пользователь	userName
