ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	PortfolioTransfer	actors	ViewerCommissionAct	ViewerCommissionAct	ViewerCommissionAct	Просмотр АВР
DocumentConfiguration	PortfolioTransfer	actors	AdminCommissionAct	AdminCommissionAct	AdminCommissionAct	Администратор АВР
DocumentConfiguration	PortfolioTransfer	actors	System	System	System	Система
DataSchema	PortfolioTransfer	field-title	sadNumber	sadNumber	sadNumber	Номер САД
DataSchema	PortfolioTransfer	field-title	issueDate	issueDate	issueDate	Дата перевода портфеля
DataSchema	PortfolioTransfer	field-title	AaServiceProviderNameFrom	AaServiceProviderNameFrom	AaServiceProviderNameFrom	Агент
DataSchema	PortfolioTransfer	field-title	aaServiceProviderNameTo	aaServiceProviderNameTo	aaServiceProviderNameTo	Агент
DataSchema	PortfolioTransfer	field-title	AANumberFrom	AANumberFrom	AANumberFrom	№ Договора посредника
DataSchema	PortfolioTransfer	field-title	aaNameFrom	aaNameFrom	aaNameFrom	aaNameFrom
DataSchema	PortfolioTransfer	field-title	AANumberTo	AANumberTo	AANumberTo	№ Договора посредника
DataSchema	PortfolioTransfer	field-title	aaNameTo	aaNameTo	aaNameTo	aaNameTo
DocumentFlowDefinition	PortfolioTransferFlow	transitions	transitions@Draft_To_TransferProcessing@Title	Draft_To_TransferProcessing	Draft_To_TransferProcessing	Передать портфель
DocumentFlowDefinition	PortfolioTransferFlow	transitions	transitions@TransferProcessing_To_Processed@Title	TransferProcessing_To_Processed	TransferProcessing_To_Processed	TransferProcessing_To_Processed
DocumentFlowDefinition	PortfolioTransferFlow	transitions	transitions@TransferProcessing_To_ProcessedWithErrors@Title	TransferProcessing_To_ProcessedWithErrors	TransferProcessing_To_ProcessedWithErrors	TransferProcessing_To_ProcessedWithErrors
DocumentFlowDefinition	PortfolioTransferFlow	transitions	transitions@ProcessedWithErrors_To_TransferProcessing@Title	ProcessedWithErrors_To_TransferProcessing	ProcessedWithErrors_To_TransferProcessing	Повторить
DocumentFlowDefinition	PortfolioTransferFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	PortfolioTransferFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	PortfolioTransferFlow	states	states@TransferProcessing	TransferProcessing	TransferProcessing	В процессе передачи портфеля
DocumentFlowDefinition	PortfolioTransferFlow	states	states@ProcessedWithErrors	ProcessedWithErrors	ProcessedWithErrors	Выполнено с ошибками
DocumentFlowDefinition	PortfolioTransferFlow	states	states@Processed	Processed	Processed	Выполнено
UiSchema	PortfolioTransferAditionalDataSearchFilters	ui-label	StateCode	StateCode	StateCode	Статус договора
UiSchema	PortfolioTransferFooter	ui-label	exportReport	exportReport	exportReport	Экспорт портфеля
DocumentConfiguration	PortfolioTransfer	rootConfiguration	PortfolioTransfer@Title	PortfolioTransfer	PortfolioTransfer	Передача портфеля
UiSchema	PortfolioTransferHeader	ui-label	CurrentAgent	CurrentAgent	CurrentAgent	Текущий посредник
UiSchema	PortfolioTransferHeader	ui-label	AaServiceProviderCodeFrom	AaServiceProviderCodeFrom	AaServiceProviderCodeFrom	Агент
UiSchema	PortfolioTransferHeader	ui-label	AgentAgreementServiceProviderName	AgentAgreementServiceProviderName	AgentAgreementServiceProviderName	Агент
UiSchema	PortfolioTransferHeader	ui-label	AANumberFrom	AANumberFrom	AANumberFrom	№ Договора посредника
UiSchema	PortfolioTransferHeader	ui-label	AgentTabNumberFrom	AgentTabNumberFrom	AgentTabNumberFrom	ТНА
UiSchema	PortfolioTransferHeader	ui-label	NewAgent	NewAgent	NewAgent	Новый посредник
UiSchema	PortfolioTransferHeader	ui-label	AaServiceProviderCodeTo	AaServiceProviderCodeTo	AgentTabNumberTo	Агент
UiSchema	PortfolioTransferHeader	ui-label	AANumberTo	AANumberTo	AANumberTo	№ Договора посредника
UiSchema	PortfolioTransferHeader	ui-label	AgentTabNumberTo	AgentTabNumberTo	AgentTabNumberTo	ТНА
UiSchema	PortfolioTransferHeader	ui-label	sadNumberFrom	sadNumberFrom	sadNumberFrom	Передать с САД
UiSchema	PortfolioTransferHeader	ui-label	sadNumberTo	sadNumberTo	sadNumberTo	Передать на САД
UiSchema	PortfolioTransferHeader	ui-label	IssueDate	IssueDate	IssueDate	Дата перевода портфеля
