ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ClientAction	PortfolioTransferItemRgslViewAutoPopulate	ui-message	AutoPopulatedSuccessfully	autoPopulate	Автозаполнение прошло успешно	autoPopulate
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	ItemSearchFilters	ItemSearchFilters	Фильтр по строкам	ItemSearchFilters
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	DocumentNumbers	DocumentNumbers	Список договоров	DocumentNumbers
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	TransferState	TransferState	Статус перевода	TransferState
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	HolderName	HolderName	Страхователь	HolderName
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	Search	Search	Поиск	Search
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	Clear	Clear	Очистить	Clear
ViewConfiguration	PortfolioTransferItemRgslView	rootConfiguration	PortfolioTransferItemRgslView@Title	PortfolioTransferItemRgslView	Журнал строк переданных портфелей	PortfolioTransferItemRgslView
ViewConfiguration	PortfolioTransferItemRgslView	actors	AdminCommissionAct	AdminCommissionAct	Администратор АВР	AdminCommissionAct
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	AutoPopulate	AutoPopulate	Авто-заполнение	Auto-Populate
ClientAction	PortfolioTransferItemRgslViewDeleteItem	ui-message	ItemWasDeleted	deleteItem	Строка удалена	deleteItem
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	Delete item	Delete item	Удалить строку	Delete item
UiSchema	PortfolioTransferItemRgslViewUiSchema	ui-label	groupByRefNo	groupByRefNo	Группировать по договору	groupByRefNo
