ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PortfolioTransferItemSearchRgslView	actors	AdminCommissionAct	AdminCommissionAct	Администратор АВР	AdminCommissionAct
ViewConfiguration	PortfolioTransferItemSearchRgslView	actors	ViewerCommissionAct	ViewerCommissionAct	Просмотр АВР	ViewerCommissionAct
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	documentNo	documentNo	Номер документа	documentNo
ViewConfiguration	PortfolioTransferItemSearchRgslView	rootConfiguration	PortfolioTransferItemSearchRgslView@Title	PortfolioTransferItemSearchRgslView	Журнал строк перевода портфелей	PortfolioTransferItemSearchRgslView
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата передачи портфеля	issueDateFrom
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	AaServiceProviderCodeFrom	AaServiceProviderCodeFrom	Передано с агента	AaServiceProviderCodeFrom
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	AgentAgreementServiceProviderName	AgentAgreementServiceProviderName	Агент	Agent
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	AaServiceProviderCodeTo	AaServiceProviderCodeTo	Передано на агента	AaServiceProviderCodeTo
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	TransferState	TransferState	Статус перевода	TransferState
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	UserName	UserName	Пользователь	UserName
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	contractNumbers	contractNumbers	Номер договора	contractNumbers
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	ProductDescription	ProductDescription	Продукт	ProductDescription
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	HolderName	HolderName	Страхователь	HolderName
UiSchema	PortfolioTransferItemSearchRgslViewFiltersContent	ui-label	StartDate	StartDate	Дата начала договора	StartDate
