ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PortfolioTransferSearchRgslView	actors	AdminCommissionAct	AdminCommissionAct	Администратор АВР	AdminCommissionAct
ViewConfiguration	PortfolioTransferSearchRgslView	actors	ViewerCommissionAct	ViewerCommissionAct	Просмотр АВР	ViewerCommissionAct
UiSchema	PortfolioTransferSearchRgslViewFiltersContent	ui-label	MainFilters	MainFilters	Фильтры	MainFilters
UiSchema	PortfolioTransferSearchRgslViewFiltersContent	ui-label	documentNo	documentNo	Номер документа	documentNo
UiSchema	PortfolioTransferSearchRgslViewFiltersContent	ui-label	IssueDateFrom	IssueDateFrom	Дата перевода портфеля с	IssueDateFrom
UiSchema	PortfolioTransferSearchRgslViewFiltersContent	ui-label	IssueDateTo	IssueDateTo	Дата перевода портфеля по	IssueDateTo
UiSchema	PortfolioTransferSearchRgslViewResultsContent	ui-label	DocumentNo	DocumentNo	Номер документа	DocumentNo
UiSchema	PortfolioTransferSearchRgslViewResultsContent	ui-label	IssueDate	IssueDate	Дата перевода портфеля	IssueDate
UiSchema	PortfolioTransferSearchRgslViewResultsContent	ui-label	StateCode	StateCode	Статус	StateCode
ViewConfiguration	PortfolioTransferSearchRgslView	rootConfiguration	PortfolioTransferSearchRgslView@Title	PortfolioTransferSearchRgslView	Журнал передач портфелей	PortfolioTransferSearchRgslView
