ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsDirectorGroup	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceReactivation	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	RiskLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
ClaimsGroup	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Claims	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	RiskLifeInsuranceFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
MethodologyGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
MethodologyDirector	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Actuary	Add
ActuaryGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Actuary	Add
ActuaryGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
ActuaryGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Legal	Add
LegalGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Legal	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
SecurityGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Underwriting	Add
UnderwritingGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Underwriting	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	PartnerSalesSupport	Add
PartnerSalesSupportGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	PartnerSalesSupport	Add
PartnerSalesSupportGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
PartnerSalesSupportGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	ClientServiceCenter	Add
ClientServiceCenterGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	ClientServiceCenter	Add
ClientServiceCenterGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
ClientServiceCenterGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	CallCenter	Add
CallCenterGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	CallCenter	Add
CallCenterGroup	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
CallCenterGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
ComplianceGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
PodftGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	System	Add
General	Allow Actor	RiskLifeInsuranceTechnicalAmendment	DocumentConfiguration	System	Add
General	Allow Actor	RiskLifeInsuranceTechnicalAmendment	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceTechnicalAmendment	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
GeneralBackOffice	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
GeneralBackOffice	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
System	Allow Actor	RiskLifeInsuranceNonFinChange	DocumentConfiguration	System	Add
System	Allow Actor	RiskLifeInsuranceFinChange	DocumentConfiguration	System	Add
SpecificSales	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Agent	Add
SpecificSales	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Agent	Add
System	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	System	Add
Administrator	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	ContractAdministrator	Add
ContractModification	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	ContractAdministrator	Add
RisklifeVTBVIP	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Agent	Add
RisklifeVTBVIP	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Agent	Add
RisklifeVTBVIP	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
RisklifeVTBVIP	Allow Actor	RiskLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
RisklifeOAS	Allow Actor	RiskLifeInsuranceQuote	DocumentConfiguration	Agent	Add
RisklifeOAS	Allow Actor	RiskLifeInsurancePolicy	DocumentConfiguration	Agent	Add
RisklifeOAS	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
System	Allow Actor	RiskLifeInsuranceCancellation	DocumentConfiguration	System	Add
RisklifeOAS	Allow Actor	RiskLifeInsuranceReactivation	DocumentConfiguration	Viewer	Add
System	Allow Actor	RiskLifeInsuranceReactivation	DocumentConfiguration	System	Add
Administrator	Allow Actor	RiskLifeInsurancePortfolioMovement	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	RiskLifeInsurancePortfolioMovement	DocumentConfiguration	Viewer	Add
AccountingGroup	Allow Actor	RiskLifeInsurancePortfolioMovement	DocumentConfiguration	Viewer	Add
System	Allow Actor	RiskLifeInsurancePortfolioMovement	DocumentConfiguration	System	Add
