ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	RiskLifeInsuranceFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Аннулировать	Draft_to_Cancelled
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	states	states@Cancelled	Cancelled	Аннулирован	Cancelled
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	RiskLifeInsuranceFinChange	rootConfiguration	RiskLifeInsuranceFinChange@Title	RiskLifeInsuranceFinChange	ДС на финансовые изменения	RiskLifeInsuranceFinChange
DataSchema	RiskLifeInsuranceFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	RiskLifeInsuranceFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
UiSchema	RiskLifeInsuranceFinChangeMainContent	ui-label	History	History	История	History
DocumentConfiguration	RiskLifeInsuranceFinChange	actors	System	System	Система	System
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	states	states@Activated	Activated	Действует	Activated
DataSchema	RiskLifeInsuranceFinChange	field-title	isAutoconversionAmendment	isAutoconversionAmendment	ДС создано автоконверсией	isAutoconversionAmendment
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Аннулировать	OperationsApproval_to_Cancelled
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	RiskLifeInsuranceFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
