ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	RiskLifeInsuranceNonFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	RiskLifeInsuranceNonFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	RiskLifeInsuranceNonFinChange	rootConfiguration	RiskLifeInsuranceNonFinChange@Title	RiskLifeInsuranceNonFinChange	ДС на нефинансовые изменения	RiskLifeInsuranceNonFinChange
DataSchema	RiskLifeInsuranceNonFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	RiskLifeInsuranceNonFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	OperationsApproval_to_Cancelled
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Rejected@Title	OperationsApproval_to_Rejected	Отказ СК	OperationsApproval_to_Rejected
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_RejectedByClient@Title	OperationsApproval_to_RejectedByClient	Отказ Клиента	OperationsApproval_to_RejectedByClient
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_InsuranceMethodologyApproval@Title	OperationsApproval_to_InsuranceMethodologyApproval	Отправить в Направление методологии страхования	OperationsApproval_to_InsuranceMethodologyApproval
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@InsuranceMethodologyApproval_to_OperationsApproval@Title	InsuranceMethodologyApproval_to_OperationsApproval	Предоставлена обратная связь	InsuranceMethodologyApproval_to_OperationsApproval
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_ActuaryApproval@Title	OperationsApproval_to_ActuaryApproval	Отправить в Направление актуарных расчётов	OperationsApproval_to_ActuaryApproval
DocumentFlowDefinition	RiskLifeInsuranceNonFinChangeFlow	transitions	transitions@ActuaryApproval_to_OperationsApproval@Title	ActuaryApproval_to_OperationsApproval	Предоставлена обратная связь	ActuaryApproval_to_OperationsApproval
