ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	RiskLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	RiskLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Активировать
DocumentFlowDefinition	RiskLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменить
UiSchema	RiskLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	ДС
UiSchema	RiskLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
UiSchema	RiskLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
DocumentConfiguration	RiskLifeInsurancePortfolioMovement	rootConfiguration	RiskLifeInsurancePortfolioMovement@Title	RiskLifeInsurancePortfolioMovement	RiskLifeInsurancePortfolioMovement	ДС на передачу портфеля
DataSchema	RiskLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	RiskLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
