ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	RiskLifeInsuranceReactivation	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	RiskLifeInsuranceReactivation	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Подтвердить
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	RiskLifeInsuranceReactivationFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулирован
UiSchema	RiskLifeInsuranceReactivationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	tabAmendmentConditions	Общая информация
UiSchema	RiskLifeInsuranceReactivationMainContent	ui-label	History	History	History	История статусов
DocumentConfiguration	RiskLifeInsuranceReactivation	rootConfiguration	RiskLifeInsuranceReactivation@Title	RiskLifeInsuranceReactivation	RiskLifeInsuranceReactivation	ДС на восстановление
DataSchema	RiskLifeInsuranceReactivation	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен
DataSchema	RiskLifeInsuranceReactivation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен
DocumentConfiguration	RiskLifeInsuranceReactivation	actors	System	System	System	Система
