ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	RiskLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentConfiguration	RiskLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
UiSchema	RiskLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	RiskLifeInsuranceTechnicalAmendment	rootConfiguration	RiskLifeInsuranceTechnicalAmendment@Title	RiskLifeInsuranceTechnicalAmendment	RiskLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	RiskLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	RiskLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
