ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
OrganisationAdministrator	Allow Actor	SubAgentExcelImport	DocumentConfiguration	OrganisationAdministrator	Add
System	Allow Actor	SubAgentExcelImport	DocumentConfiguration	System	Add
OrganisationAdministrator	Allow Actor	SubAgentExcelLoadSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	SubAgentLoadedDataErrorsFromExcel	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	SubAgentExcelImportSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	SubAgentExcelFailedImports	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Execute Service	SubAgentExcelETL	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Execute Service	SetNSOEtlService	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Execute Service	SetSadNumbersEtlService	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Execute Service	SetSadFinalEtlService	EtlServiceConfiguration	*	Add
General	Execute Service	ExcelSubAgentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetNSODataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetSadNumbersDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ReinsurerPartyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ServiceProviderDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ServiceProviderPartyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	SubAgentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	SubAgentLoadedDataErrorsFromExcelDataSource	DataSourceConfiguration	*	Add
General	Execute Service	SubAgentExcelFailedImportsExport	DataExportConfiguration	*	Add
General	Execute Service	SubAgentExcelSuccesfulImportsExport	DataExportConfiguration	*	Add
SubAgentImport	Allow Actor	SubAgentExcelImport	DocumentConfiguration	OrganisationAdministrator	Add
SubAgentImport	Allow Actor	SubAgentExcelImport	DocumentConfiguration	System	Add
SubAgentImport	Allow Actor	SubAgentExcelLoadSuccess	ViewConfiguration	OrganisationAdministrator	Add
SubAgentImport	Allow Actor	SubAgentLoadedDataErrorsFromExcel	ViewConfiguration	OrganisationAdministrator	Add
SubAgentImport	Allow Actor	SubAgentExcelImportSuccess	ViewConfiguration	OrganisationAdministrator	Add
SubAgentImport	Allow Actor	SubAgentExcelFailedImports	ViewConfiguration	OrganisationAdministrator	Add
SubAgentImport	Execute Service	SubAgentExcelETL	EtlServiceConfiguration	*	Add
