ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	ServiceProviderDataSourceResultSchema	field-title	serviceProviderCode	serviceProviderCode	ИД поставщика услуг	serviceProviderCode
DataSchema	ServiceProviderDataSourceResultSchema	field-title	businessCode	businessCode	Код поставщика услуг	businessCode
DataSchema	ServiceProviderDataSourceResultSchema	field-title	partyId	partyId	ИД контрагента	partyId
DataSchema	ServiceProviderDataSourceResultSchema	field-title	partyCode	partyCode	Код контрагента	partyCode
DataSchema	ServiceProviderDataSourceResultSchema	field-title	partyDisplayName	partyDisplayName	Наименование контрагента	partyDisplayName
DataSchema	ServiceProviderDataSourceResultSchema	field-title	orgUnitCode	orgUnitCode	ИД подразделения	orgUnitCode
DataSchema	ServiceProviderDataSourceResultSchema	field-title	orgUnitName	orgUnitName	Наименование подразделения	orgUnitName
DataSchema	ServiceProviderDataSourceResultSchema	field-title	serviceProviderType	serviceProviderType	Тип поставщика услуг	serviceProviderType
DataSchema	ServiceProviderDataSourceResultSchema	field-title	partyShortName	partyShortName	Сокращенное наименование	partyShortName
DataSchema	ServiceProviderDataSourceResultSchema	field-title	sadNumber	sadNumber	Номер САД	sadNumber
