ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	SubAgentExcelImport	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DocumentConfiguration	SubAgentExcelImport	actors	System	System	Система	System
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать Загрузку	StartLoading
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить Загрузку	FinishLoading
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Заменить импортированные данные	ChangeImportData
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	SubAgentExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончит импорт	FinishImporting
DocumentFlowDefinition	SubAgentExcelImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Draft	Draft	Черновик	Draft
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	SubAgentExcelImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	SubAgentExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	Загрузить данные	GeneralInfo
UiSchema	SubAgentExcelImportUiSchema	ui-label	FileSelection	FileSelection	Выбор Файла	FileSelection
UiSchema	SubAgentExcelImportUiSchema	ui-label	LoadedData	LoadedData	Загруженная Информация	LoadedData
UiSchema	SubAgentExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки по Загруженной Информации	LoadDataErrors
UiSchema	SubAgentExcelImportUiSchema	ui-label	ImportedData	ImportedData	Загруженные данные	ImportedData
UiSchema	SubAgentExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Номер документа загрузки	Bank statement document number
UiSchema	SubAgentExcelImportUiSchema	ui-label	Date	Date	Дата	Date
DocumentConfiguration	SubAgentExcelImport	rootConfiguration	SubAgentExcelImport@Title	SubAgentExcelImport	Загрузка субагентов EXCEL	SubAgentExcelImport
