ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	Failed imports	Failed imports	Ошибки импорта	Failed imports
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	Export	Export	Экспорт	Export
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	RecordKey	RecordKey	Ключ записи	RecordKey
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	ErrorType	ErrorType	Тип ошибки	ErrorType
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	ErrorMessage	ErrorMessage	Сообщение ошибки	ErrorMessage
ViewConfiguration	SubAgentExcelFailedImports	rootConfiguration	SubAgentExcelFailedImports@Title	SubAgentExcelFailedImports	Ошибки Импорта	SubAgentExcelFailedImports
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	Full Name	Full Name	ФИО	Full Name
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	Username	Username	Логин	Username
UiSchema	SubAgentExcelFailedImportsUiSchema	ui-label	Name Sink	Name Sink	Место ошибки	Name Sink
ViewConfiguration	SubAgentExcelFailedImports	dataExport	SubAgentExcelFailedImportsExport@ExportExcelSubAgentFailed	SubAgentExcelFailedImportsExport@ExportExcelSubAgentFailed	Ошибки импорта	ExportExcelSubAgentFailed
ViewConfiguration	SubAgentExcelFailedImports	actors	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator
