ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Загруженные данные	Loaded data
ViewConfiguration	SubAgentExcelLoadSuccess	rootConfiguration	SubAgentExcelLoadSuccess@Title	SubAgentExcelLoadSuccess	УСПЕШНО ЗАГРУЖЕННАЯ ИНФОРМАЦИЯ	SubAgentExcelLoadSuccess
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumber	sadNumber	Номер субагента	sadNumber
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	SKK	SKK	СКК	SKK
ViewConfiguration	SubAgentExcelLoadSuccess	actors	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	company	company	Компания	company
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	department	department	Подразделение	department
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	branch	branch	"Филиал "	branch
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	positionKFN	positionKFN	Должность сотрудника (КФН)	positionKFN
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	level	level	Уровень	level
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadFinal	sadFinal	Итоговый верхнеуровней САД	sadFinal
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	physicalPersonFullName	physicalPersonFullName	Пользователь	physicalPersonFullName
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	lnrNumberAgentAgreement	lnrNumberAgentAgreement	ЛНР по агентскому договору	lnrNumberAgentAgreement
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	lnrNumberEmployeeAgreement	lnrNumberEmployeeAgreement	ЛНР по трудовому договору	lnrNumberEmployeeAgreement
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	receiveType	receiveType	Вид приема	receiveType
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	email	email	E-mail	email
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	phoneNumber	phoneNumber	Телефон	phoneNumber
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	salesChannel	salesChannel	Канал продаж	salesChannel
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	salePointAddress	salePointAddress	Адрес точки продаж	salePointAddress
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumberMAG	sadNumberMAG	САД РГСЖ МАГа	sadNumberMAG
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumberNSO	sadNumberNSO	САД РГСЖ НСО	sadNumberNSO
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumber1	sadNumber1	1й - САД РГСЖ	sadNumber1
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumber2	sadNumber2	2й - САД РГСЖ	sadNumber2
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	physicalPersonID	physicalPersonID	ID физ. лица	physicalPersonID
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	physicalPersonINN	physicalPersonINN	ИНН	physicalPersonINN
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadBeginDate	sadBeginDate	Дата приема по САД	sadBeginDate
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadEndDate	sadEndDate	Дата увольнения по САД	sadEndDate
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	physicalPersonBirthDate	physicalPersonBirthDate	Дата рождения	physicalPersonBirthDate
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	physicalPersonGender	physicalPersonGender	Пол	physicalPersonGender
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sadNumberNSO2	sadNumberNSO2	САД РГСЖ НСО(2)	sadNumberNSO2
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	isSASAgent	isSASAgent	Агент САС	isSASAgent
UiSchema	SubAgentExcelLoadSuccessUiSchema	ui-label	sapAD	sapAD	АД в SAP	sapAD
