ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	TimeZone	enum	timeZone@GMT	GMT	Среднее время по Гринвичу (UTC +0)	Greenwich Mean Time (UTC +0)
DataSchema	TimeZone	enum	timeZone@BST	BST	Британское летнее время (UTC +1)	British Summer Time (UTC +1)
DataSchema	TimeZone	enum	timeZone@CET	CET	Центральноевропейское время (UTC +1)	Central European Time (UTC +1)
DataSchema	TimeZone	enum	timeZone@IST	IST	Ирландское стандартное время (UTC +1)	Irish Standard Time (UTC +1)
DataSchema	TimeZone	enum	timeZone@EET	EET	Восточноевропейское время (UTC +2)	Eastern European Time (UTC +2)
DataSchema	TimeZone	enum	timeZone@FET	FET	Центрально-европейское время (UTC +3)	Further-Eastern European Time (UTC +3)
DataSchema	TimeZone	enum	timeZone@MSK	MSK	Московское стандартное время (UTC +3)	Moscow Standard Time (UTC +3)
DataSchema	TimeZone	enum	timeZone@KUYT	KUYT	Куйбышевское время (UTC +4)	Kuybyshev Time (UTC +4)
DataSchema	TimeZone	enum	timeZone@SAMT	SAMT	Самарское время (UTC +4)	Samara Time (UTC +4)
DataSchema	TimeZone	enum	timeZone@YEKT	YEKT	Екатеринбургское время (UTC +5)	Yekaterinburg Time (UTC +5)
DataSchema	TimeZone	enum	timeZone@OMST	OMST	Омское стандартное время (UTC +6)	Omsk Standard Time (UTC +6)
DataSchema	TimeZone	enum	timeZone@KRAT	KRAT	Красноярское время (UTC +7)	Krasnoyarsk Time (UTC +7)
DataSchema	TimeZone	enum	timeZone@NOVT	NOVT	Новосибирское время (UTC +7)	Novosibirsk Time (UTC +7)
DataSchema	TimeZone	enum	timeZone@IRKT	IRKT	Иркутское время (UTC +8)	Irkutsk Time (UTC +8)
DataSchema	TimeZone	enum	timeZone@YAKT	YAKT	Якутское время (UTC +9)	Yakutsk Time (UTC +9)
DataSchema	TimeZone	enum	timeZone@VLAT	VLAT	Владивостокское время (UTC +10)	Vladivostok Time (UTC +10)
DataSchema	TimeZone	enum	timeZone@SRET	SRET	Среднеколымское время (UTC +11) 	Srednekolymsk Time (UTC +11)
DataSchema	TimeZone	enum	timeZone@PETT	PETT	Камчатское время (UTC +12)	Kamchatka Time (UTC +12)
