ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US	Translation_de-DE
UiSchema	WorkCalendarUiSchema	operations	operations@Save@Title	Save	Сохранить	Save	Speichern
MasterEntityConfiguration	WorkCalendar	rootConfiguration	WorkCalendar@Title	WorkCalendar	Рабочий календарь	Work Calendar	Arbeitskalender
DataSchema	WorkCalendar	field-title	Name	Name	Название	Name	Name
DataSchema	WorkCalendar	field-title	Time zone	Time zone	Часовой пояс	Time zone	Zeitzone
DataSchema	WorkCalendar	field-title	Rule description	Rule description	Описание	Rule description	Regelbeschreibung
DataSchema	WorkCalendar	field-title	Workday	Workday	Рабочий день	Workday	Arbeitstag
DataSchema	WorkCalendar	field-title	Date from	Date from	Дата от	Date from	Vom Datum
DataSchema	WorkCalendar	field-title	Date to	Date to	Дата до	Date to	Bis Datum
DataSchema	WorkCalendar	field-title	Time from	Time from	Время от	Time from	Zeit vom
DataSchema	WorkCalendar	field-title	Time to	Time to	Время до	Time to	Zeit bis
DataSchema	WorkCalendar	field-title	Repeat pattern	Repeat pattern	Схема повтора	Repeat pattern	Wiederholungsmuster
DataSchema	WorkCalendar	field-title	Day of week	Day of week	День недели	Day of week	Wochentag
DataSchema	WorkCalendar	field-title	Capacity	Capacity	Нагрузка	Capacity [hours]	Kapazität (Stunden)
DataSchema	WorkCalendar	field-title	Event date	Event date	Дата события	Event date	Veranstaltungsdatum
DataSchema	WorkCalendar	field-title	Application user	Application user	Пользователь	Application user	Antragsuser
DataSchema	WorkCalendar	field-title	Source calendar	Source calendar	Источник	Source calendar	Quellenkalender
DataSchema	WorkCalendar	field-title	Rule level	Rule level	Уровень правил	Rule level	Regelebene
DataSchema	WorkCalendar	field-title	Parent calendar	Parent calendar	Родительский календарь	Parent calendar	Übergeordneter Kalender
DataSchema	WorkCalendar	field-title	Parent calendar name	Parent calendar name	Название родительского каледнаря	Parent calendar name	Name des übergeordneten Kalenders
DataSchema	WorkCalendar	enum	ruleLevel@general	general	Общий	General	Allgemeines
DataSchema	WorkCalendar	enum	ruleLevel@exception	exception	Исключение	Exception	Ausnahme
DataSchema	WorkCalendar	enum	RepetitionPattern@daily	daily	Ежедневно	Daily	Täglich
DataSchema	WorkCalendar	enum	RepetitionPattern@weekly	weekly	Еженедельно	Weekly	Wöchentlich
DataSchema	WorkCalendar	enum	RepetitionPattern@yearly	yearly	Ежегодно	Yearly	Jährlich
DataSchema	WorkCalendar	enum	DayOfWeek@monday	monday	Понедельник	Monday	Montag
DataSchema	WorkCalendar	enum	DayOfWeek@tuesday	tuesday	Вторник	Tuesday	Dienstag
DataSchema	WorkCalendar	enum	DayOfWeek@wednesday	wednesday	Среда	Wednesday	Mittwoch
DataSchema	WorkCalendar	enum	DayOfWeek@thursday	thursday	Четверг	Thursday	Donnerstag
DataSchema	WorkCalendar	enum	DayOfWeek@friday	friday	Пятница	Friday	Freitag
DataSchema	WorkCalendar	enum	DayOfWeek@saturday	saturday	Суббота	Saturday	Samstag
DataSchema	WorkCalendar	enum	DayOfWeek@sunday	sunday	Воскресенье	Sunday	Sonntag
Rule	WorkCalendarValidateRepetition	rule	validation@WeeklyRepetitionMissingDayOfWeek	validateRepetition	E: Необходимо выбрать день недели для повтора	E: Day of the week is not set on one of the rules.	E: Der Wochentag ist nicht auf eine der Regeln festgelegt.
Rule	WorkCalendarValidateRepetition	rule	validation@YearlyRepetitionMissingDay	validateRepetition	E: Необходимо выбрать дату события для повтора	E: Day of the year is not set on one of the rules.	E: Der Tag des Jahres ist nicht auf eine der Regeln festgelegt.
Rule	WorkCalendarValidateWorkHours	rule	validation@TimeFromCantBeAfterTimeTo	validateWorkHours	E: Рабочие часы не могут начинаться после их окончания	E: Work hours can't begin after they ends.	
Rule	WorkCalendarValidateWorkHours	rule	validation@CapacitySetToLargeForGivenWorkingTimePeriod	validateWorkHours	E: Для данного периода времени установлена большая емкость.	E: Capacity is set to large for the given time period.	
Rule	WorkCalendarValidateTimeZone	rule	validation@NoTimeZone	validateTimeZone	E: Необходимо выбрать часовой пояс, если не выбран источник	E: Time zone is required if not based on another calendar.	
MasterEntityConfiguration	WorkCalendar	actors	Administrator	Administrator	Администратор	Administrator	
UiSchema	WorkCalendarUiSchema	ui-label	Calendar Settings	Calendar Settings	Настройки календаря	Calendar Settings	Allgemeine Informationen
UiSchema	WorkCalendarUiSchema	ui-label	Exceptions	Exceptions	Исключения	Exceptions	Ausnahmen
UiSchema	WorkCalendarUiSchema	ui-label	Calendar name	Calendar name	Название календаря	Calendar name	Kalendername
UiSchema	WorkCalendarUiSchema	ui-label	Based on calendar	Based on calendar	На основании календаря	Based on calendar	Basierend auf dem Kalender
UiSchema	WorkCalendarUiSchema	ui-label	Description	Description	Описание	Description	Beschreibung
UiSchema	WorkCalendarUiSchema	ui-label	Date from	Date from	Дата от	Date from	Vom Datum
UiSchema	WorkCalendarUiSchema	ui-label	Date to	Date to	Дата до	Date to	Bis Datum
UiSchema	WorkCalendarUiSchema	ui-label	Is workday	Is workday	Рабочий день	Is workday	Ist Arbeitstag
UiSchema	WorkCalendarUiSchema	ui-label	Source calendar	Source calendar	Источник	Source calendar	Quellenkalender
UiSchema	WorkCalendarUiSchema	ui-label	Time zone	Time zone	Часовой пояс	Time zone	Zeitzone
UiSchema	WorkCalendarUiSchema	ui-label	Repetition	Repetition	Повтор	Repetition	Wiederholung
UiSchema	WorkCalendarUiSchema	ui-label	Pattern	Pattern	Повтор	Pattern	Muster
UiSchema	WorkCalendarUiSchema	ui-label	Day of week	Day of week	День недели	Day of week	Wochentag
UiSchema	WorkCalendarUiSchema	ui-label	Event date	Event date	Дата события	Event date	Veranstaltungsdatum
UiSchema	WorkCalendarUiSchema	ui-label	Calendar Overview	Calendar Overview	Просмотр календаря	Calendar Overview	Kalender-Übersicht
ClientAction	WorkCalendarCheckLookupResultSelected	ui-message	DataIsNotSelected	checkLookupResultSelected	Ничего не выбрано!	Nothing is selected!	
