ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US	Translation_de-DE
UiSchema	GroupCalendarViewUiSchema	ui-label	Managed user group	Managed user group	Группы	Managed user group	
UiSchema	GroupCalendarViewUiSchema	ui-label	Application user	Application user	Пользователь	Application user	
UiSchema	GroupCalendarViewUiSchema	ui-label	Date from	Date from	Дата от	Date from	
UiSchema	GroupCalendarViewUiSchema	ui-label	Date To	Date To	Дата до	Date To	
UiSchema	GroupCalendarViewUiSchema	ui-label	Clear	Clear	Очистить	Clear	
UiSchema	GroupCalendarViewUiSchema	ui-label	Exceptions	Exceptions	Исключения	Exceptions	
UiSchema	GroupCalendarViewUiSchema	ui-label	User	User	Пользователь	User	
UiSchema	GroupCalendarViewUiSchema	ui-label	Description	Description	Описание	Description	
UiSchema	GroupCalendarViewUiSchema	ui-label	Is workday	Is workday	Рабочий день	Is workday	
UiSchema	GroupCalendarViewUiSchema	ui-label	Date to	Date to	Дата до	Date to	
UiSchema	GroupCalendarViewUiSchema	ui-label	From	From	От	From	
UiSchema	GroupCalendarViewUiSchema	ui-label	To	To	До	To	
UiSchema	GroupCalendarViewUiSchema	ui-label	Repetition	Repetition	Повтор	Repetition	
UiSchema	GroupCalendarViewUiSchema	ui-label	Capacity	Capacity	Нагрузка	Capacity	
UiSchema	GroupCalendarViewUiSchema	ui-label	Source calendar	Source calendar	Источник	Source calendar	
UiSchema	GroupCalendarViewUiSchema	ui-label	Substitutes	Substitutes	Заместители	Substitutes	
UiSchema	GroupCalendarViewUiSchema	ui-label	Substitute	Substitute	Заместитель	Substitute	
UiSchema	GroupCalendarViewUiSchema	ui-label	Substitute user	Substitute user	Заместитель	Substitute user	
ViewConfiguration	GroupCalendarView	rootConfiguration	GroupCalendarView@Title	GroupCalendarView	Календарь группы	Group Calendar View	
DataSchema	GroupCalendarView	field-title	Rule description	Rule description	Описание	Rule description	
DataSchema	GroupCalendarView	field-title	Source calendar	Source calendar	Источник	Source calendar	
DataSchema	GroupCalendarView	field-title	Workday	Workday	Рабочий день	Workday	
DataSchema	GroupCalendarView	field-title	Date from	Date from	Дата от	Date from	
DataSchema	GroupCalendarView	field-title	Date to	Date to	Дата до	Date to	
DataSchema	GroupCalendarView	field-title	Time from	Time from	Время от	Time from	
DataSchema	GroupCalendarView	field-title	Time to	Time to	Время до	Time to	
DataSchema	GroupCalendarView	field-title	Capacity	Capacity	Нагрузка	Capacity	
DataSchema	GroupCalendarView	field-title	Repeat pattern	Repeat pattern	Схема повтора	Repeat pattern	Wiederholungsmuster
DataSchema	GroupCalendarView	field-title	Day of week	Day of week	День недели	Day of week	
DataSchema	GroupCalendarView	field-title	Event date	Event date	Дата события	Event date	
DataSchema	GroupCalendarView	enum	RepetitionPattern@daily	daily	Ежедневно	Daily	
DataSchema	GroupCalendarView	enum	RepetitionPattern@weekly	weekly	Еженедельно	Weekly	
DataSchema	GroupCalendarView	enum	RepetitionPattern@yearly	yearly	Ежегодно	Yearly	
DataSchema	GroupCalendarView	enum	DayOfWeek@monday	monday	Понедельник	Monday	
DataSchema	GroupCalendarView	enum	DayOfWeek@tuesday	tuesday	Вторник	Tuesday	
DataSchema	GroupCalendarView	enum	DayOfWeek@wednesday	wednesday	Среда	Wednesday	
DataSchema	GroupCalendarView	enum	DayOfWeek@thursday	thursday	Четверг	Thursday	
DataSchema	GroupCalendarView	enum	DayOfWeek@friday	friday	Пятница	Friday	
DataSchema	GroupCalendarView	enum	DayOfWeek@saturday	saturday	Суббота	Saturday	
DataSchema	GroupCalendarView	enum	DayOfWeek@sunday	sunday	Воскресенье	Sunday	
ViewConfiguration	GroupCalendarView	actors	Administrator	Administrator	Администратор	Administrator	
