ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	MyCalendarView	rootConfiguration	MyCalendarView@Title	MyCalendarView	Мой календарь	MyCalendarView
UiSchema	MyCalendarViewUiSchema	ui-label	Save	Save	Сохранить	Save
DataSchema	MyCalendarView	field-title	Name	Name	Название	Name
DataSchema	MyCalendarView	field-title	Time zone	Time zone	Часовой пояс	Time zone
DataSchema	MyCalendarView	field-title	Rule description	Rule description	Описание	Rule description
DataSchema	MyCalendarView	field-title	Workday	Workday	Рабочий день	Workday
DataSchema	MyCalendarView	field-title	Date from	Date from	Дата от	Date from
DataSchema	MyCalendarView	field-title	Date to	Date to	Дата до	Date to
DataSchema	MyCalendarView	field-title	Time from	Time from	Время от	Time from
DataSchema	MyCalendarView	field-title	Time to	Time to	Время до	Time to
DataSchema	MyCalendarView	field-title	Repeat pattern	Repeat pattern	Схема повтора	Repeat pattern
DataSchema	MyCalendarView	field-title	Day of week	Day of week	День недели	Day of week
DataSchema	MyCalendarView	field-title	Capacity	Capacity	Нагрузка	Capacity [hours]
DataSchema	MyCalendarView	field-title	Event date	Event date	Дата события	Event date
DataSchema	MyCalendarView	field-title	Application user	Application user	Пользователь	Application user
DataSchema	MyCalendarView	field-title	Source calendar	Source calendar	Источник	Source calendar
DataSchema	MyCalendarView	enum	ruleLevel@general	general	Общий	General
DataSchema	MyCalendarView	enum	ruleLevel@exception	exception	Исключение	Exception
DataSchema	MyCalendarView	field-title	Rule level	Rule level	Уровень правил	Rule level
Rule	MyCalendarViewValidateRepetition	rule	validation@WeeklyRepetitionMissingDayOfWeek	validateRepetition	E: Необходимо выбрать день недели для повтора	E: Day of the week is not set on one of the rules
Rule	MyCalendarViewValidateRepetition	rule	validation@YearlyRepetitionMissingDay	validateRepetition	E: Необходимо выбрать дату события для повтора	E: Day of the year is not set on one of the rules
DataSchema	MyCalendarView	field-title	Parent calendar	Parent calendar	Родительский календарь	Parent calendar
DataSchema	MyCalendarView	field-title	Parent calendar name	Parent calendar name	Название родительского календаря	Parent calendar name
UiSchema	MyCalendarViewUiSchema	ui-label	Substitutes	Substitutes	Заместители	Substitutes
UiSchema	MyCalendarViewUiSchema	ui-label	Application user group	Application user group	Группы пользователей	Application user group
UiSchema	MyCalendarViewUiSchema	ui-label	Substitute	Substitute	Заместитель	Substitute
UiSchema	MyCalendarViewUiSchema	ui-label	Group	Group	Группа	Group
UiSchema	MyCalendarViewUiSchema	ui-label	Substitute user	Substitute user	Пользователь	Substitute user
DataSchema	MyCalendarView	enum	RepetitionPattern@daily	daily	Ежедневно	Daily
DataSchema	MyCalendarView	enum	RepetitionPattern@weekly	weekly	Еженедельно	Weekly
DataSchema	MyCalendarView	enum	RepetitionPattern@yearly	yearly	Ежегодно	Yearly
DataSchema	MyCalendarView	enum	DayOfWeek@monday	monday	Понедельник	Monday
DataSchema	MyCalendarView	enum	DayOfWeek@tuesday	tuesday	Вторник	Tuesday
DataSchema	MyCalendarView	enum	DayOfWeek@wednesday	wednesday	Среда	Wednesday
DataSchema	MyCalendarView	enum	DayOfWeek@thursday	thursday	Четверг	Thursday
DataSchema	MyCalendarView	enum	DayOfWeek@friday	friday	Пятница	Friday
DataSchema	MyCalendarView	enum	DayOfWeek@saturday	saturday	Суббота	Saturday
DataSchema	MyCalendarView	enum	DayOfWeek@sunday	sunday	Воскресенье	Sunday
DataSchema	MyCalendarView	enum	timeZone@GMT	GMT	Среднее время по Гринвичу (UTC +0)	Greenwich Mean Time (UTC +0)
DataSchema	MyCalendarView	enum	timeZone@BST	BST	Британское летнее время (UTC +1)	British Summer Time (UTC +1)
DataSchema	MyCalendarView	enum	timeZone@CET	CET	Центральноевропейское время (UTC +1)	Central European Time (UTC +1)
DataSchema	MyCalendarView	enum	timeZone@IST	IST	Ирландское стандартное время (UTC +1)	Irish Standard Time (UTC +1)
DataSchema	MyCalendarView	enum	timeZone@EET	EET	Восточноевропейское время (UTC +2)	Eastern European Time (UTC +2)
DataSchema	MyCalendarView	enum	timeZone@FET	FET	Центрально-европейское время (UTC +3)	Further-Eastern European Time (UTC +3)
DataSchema	MyCalendarView	enum	timeZone@MSK	MSK	Московское стандартное время (UTC +3)	Moscow Standard Time (UTC +3)
DataSchema	MyCalendarView	enum	timeZone@KUYT	KUYT	Куйбышевское время (UTC +4)	Kuybyshev Time (UTC +4)
