ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US	Translation_de-DE
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	ID	ID	Код календаря	Calendar ID	KalenderID
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Name	Name	Название	Name	Name
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Search	Search	Поиск	Search	Suchen
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Calendar name	Calendar name	Название календаря	Calendar name	Kalendername
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Based on	Based on	На основании	Based on	Auf der Basis von
ViewConfiguration	WorkCalendarSearchView	rootConfiguration	WorkCalendarSearchView@Title	WorkCalendarSearchView	Поиск	Overview	Übersicht
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Hide system calendars	Hide system calendars	Скрыть системные календари	Hide system calendars	
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Hide user calendars	Hide user calendars	Скрыть пользовательские календари	Hide user calendars	
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Calendar ID	Calendar ID	Код календаря	Calendar ID	
ViewConfiguration	WorkCalendarSearchView	actors	Administrator	Administrator	Администратор	Administrator	
UiSchema	WorkCalendarSearchViewUiSchema	ui-label	Clear	Clear	Очистить	Clear	
